"label","numberOfGames","totalRevenue","averageRevenue","averagePrice","averagePlayTime","medianRevenue","top25","top5","bottom30"
"Action","36902","49059762363.857994","1329460.7978932848","8.65329982114246","4.721036283702759","646","10351","1005765","80"
"Free To Play","8113","22084986509.978184","2722172.62541331","0.048111672624183456","10.440792046172136","0","0","170668.9194380438","0"
"Adventure","35251","29198977579.510094","828316.2911551472","9.127760347218796","5.001719978778105","1036","13882","686295","140"
"Massively Multiplayer","2115","10109754090.443356","4780025.5746777095","5.934307328605109","23.03495142867334","1026","34482","8005643.119571066","9"
"Strategy","17335","12572714474.38727","725279.1736018038","9.91498182866796","9.414015324485353","1137","20898","1204656","130"
"RPG","16242","18241428946.77553","1123102.3855914008","10.47474695234387","8.800842335367797","1877","33305","1759830","188"
"Indie","62548","15743100346.75416","251696.30278752572","7.169004124825899","4.885691738363508","647","7718","312431","84"
"Early Access","8885","3401152885.1194634","382797.1733392756","8.719857062465392","5.870523225514952","557","7568","376472","77"
"Simulation","18097","11965241331.467415","661172.6436131633","10.91741725147482","8.156881474334972","1852","26162","1214269","235"
"Racing","3267","1404772145.685259","429988.4131268011","13.609035812671511","5.097604154758227","628","10367","654880","80"
"Sports","3926","1782024128.5334132","453903.2421124333","14.566151299031064","7.764558740472664","941","13516","597348","154"
"Casual","38224","4797645805.53129","125513.96519284455","6.742645196730215","5.187645973839581","414","3950","126808","59"
