"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"Hero Zero - Multiplayer RPG","1467691200000","false","278214","0","2500123.137759206","49.924736498331505","82","Hobbyist","","Playata GmbH","482920","https://store.steampowered.com/app/482920",""
"The Invincible","1699246800000","false","115198","29.99","2500117","5.239318318387489","90","AA","11 bit studios","Starward Industries","731040","https://store.steampowered.com/app/731040",""
"The Mean Greens - Plastic Warfare","1449550800000","false","789359","9.99","2493906","5.936197410908655","82","Indie","Virtual Basement LLC","Virtual Basement LLC,Code Headquarters LLC","360940","https://store.steampowered.com/app/360940",""
"Galactic Civilizations IV","1682568000000","false","60415","49.99","2492892","88.20555535108231","73","Indie","Stardock Entertainment","Stardock Entertainment","1357210","https://store.steampowered.com/app/1357210","1697688000000"
"Ashen","1575867600000","false","142194","39.99","2492397","7.163223676004289","68","AA","Annapurna Interactive","A44","649950","https://store.steampowered.com/app/649950",""
"Murders on the Yangtze River","1706590800000","false","259827","14.99","2487595","9.15505818288285","98","Indie","OMEGAMES STUDIO,NPC Entertainment","OMEGAMES STUDIO","1746030","https://store.steampowered.com/app/1746030",""
"RollerCoaster Tycoon® Classic","1506571200000","false","231829","19.99","2487469","19.640034687777835","0","Indie","Atari","Origin8 Technologies Ltd.","683900","https://store.steampowered.com/app/683900",""
"Lichdom: Battlemage","1393632000000","false","257327","9.99","2487405","5.8647528155843585","57","Indie","Xaviant Games","Xaviant","261760","https://store.steampowered.com/app/261760","1409025600000"
"Terraforming Mars","1539748800000","false","191842","19.99","2485269","32.00770099099098","71","Indie","Twin Sails Interactive","Artefacts Studio","800270","https://store.steampowered.com/app/800270",""
"art of rally","1600833600000","false","144688","24.99","2484185","9.69113424201167","93","Indie","Funselektor Labs Inc.","Funselektor Labs Inc.","550320","https://store.steampowered.com/app/550320",""
"Beat Hazard","1271304000000","false","544773","9.99","2482235","23.66296292037845","95","Indie","Cold Beam Games","Cold Beam Games","49600","https://store.steampowered.com/app/49600",""
"The Genesis Order","1693540800000","false","183251","14.99","2479858","17.657444665934122","89","Indie","NLT Media","NLT Media","2553870","https://store.steampowered.com/app/2553870","1712030400000"
"DOOM + DOOM II","1186113600000","false","868338","9.99","2474823","3.263615722808208","97","Indie","Bethesda","id Software,Nightdive Studios","2280","https://store.steampowered.com/app/2280",""
"Aokana - Four Rhythms Across the Blue","1569556800000","false","125654","34.99","2468767","34.51124842817839","98","Indie","NekoNyan Ltd.,HIKARI FIELD","sprite,NekoNyan Ltd.","1044620","https://store.steampowered.com/app/1044620",""
"Prodeus","1604898000000","false","116973","24.99","2467164","6.953529623160413","94","AA","Humble Games","Bounding Box Software Inc.","964800","https://store.steampowered.com/app/964800","1663905600000"
"BRAVELY DEFAULT II","1630555200000","false","70335","59.99","2467046","21.2838381777678","83","AA","Square Enix","Square Enix,Claytechworks","1446650","https://store.steampowered.com/app/1446650",""
"STAR WARS™ Jedi Knight - Jedi Academy™","1253073600000","false","478170","9.99","2464065","9.73088557637312","96","AA","LucasArts,Lucasfilm,Disney","Raven Software","6020","https://store.steampowered.com/app/6020",""
"COCOON","1695960000000","false","152762","24.99","2462581","3.1851788003660513","0","AA","Annapurna Interactive","Geometric Interactive","1497440","https://store.steampowered.com/app/1497440",""
"Steelrising","1662609600000","false","111638","49.99","2462213","12.423814283859002","75","AA","Nacon","Spiders","1283400","https://store.steampowered.com/app/1283400",""
"Command: Modern Operations","1573707600000","false","44145","79.99","2460962","38.27786046066356","85","AA","Slitherine Ltd.","Command Development Team","1076160","https://store.steampowered.com/app/1076160",""
"Pikuniku","1548306000000","false","560437","12.99","2460687","4.02289595189726","96","AA","Devolver Digital","Arnaud De Bock,Rémi Forcadell,Alan Zucconi,Calum Bowen","572890","https://store.steampowered.com/app/572890",""
"Pumpkin Jack","1603425600000","false","155377","29.99","2459492","3.4981429744328043","92","Indie","Headup,Beep Japan","Nicolas Meyssonnier","1186640","https://store.steampowered.com/app/1186640",""
"Door Kickers: Action Squad","1509494400000","false","541512","13.99","2458947","6.358094305192942","95","Indie","KillHouse Games","PixelShard,KillHouse Games","686200","https://store.steampowered.com/app/686200","1536552000000"
"Turing Complete","1633147200000","true","159958","19.99","2458784","13.750881933247843","96","Indie","LevelHead","LevelHead","1444480","https://store.steampowered.com/app/1444480",""
"Detention","1484197200000","false","386349","11.99","2456530","4.049592946099284","96","Indie","RedCandleGames,AGM PLAYISM","RedCandleGames","555220","https://store.steampowered.com/app/555220",""
"Magicite","1391212800000","false","448412","9.99","2454664","11.909047455522387","85","Indie","SmashGames","Sean Young","268750","https://store.steampowered.com/app/268750","1402286400000"
"FOUNDRY","1714622400000","true","96517","29.99","2453396","33.41774505845625","84","AAA","Paradox Interactive","Channel 3 Entertainment","983870","https://store.steampowered.com/app/983870",""
"Dragon Saga","1450760400000","false","219255","0","2449994.973427382","14.460066529387639","66","Indie","Gravity Interactive","Gravity Interactive","381990","https://store.steampowered.com/app/381990",""
"Disciples: Liberation","1634788800000","false","104943","39.99","2448446","18.668267452527715","74","AA","Kalypso Media","Frima Studio","1287840","https://store.steampowered.com/app/1287840",""
"Cultivation Tales","1649908800000","false","201142","19.99","2446852","59.81710529203899","37","Indie","Ac Games","Ac Games","1504570","https://store.steampowered.com/app/1504570","1713326400000"
"Cities XXL","1423112400000","false","119777","9.99","2446349","14.169013980264772","39","AA","Focus Entertainment","Focus Entertainment","313010","https://store.steampowered.com/app/313010",""
"Sheltered","1438387200000","false","427970","14.99","2441280","11.392433003116428","82","Indie","Team17 Digital Ltd","Unicube,Team 17 Digital Ltd","356040","https://store.steampowered.com/app/356040","1458014400000"
"Bopl Battle","1700110800000","false","295898","9.99","2438643","14.05814387606406","97","Indie","Zapray Games","Johan Grönvall","1686940","https://store.steampowered.com/app/1686940",""
"SMASH LEGENDS","1615780800000","false","732248","0","2438044.5170494784","9.305984972805753","71","Indie","5minlab Corp.","5minlab Corp.","1352080","https://store.steampowered.com/app/1352080","1618200000000"
"Windward","1412121600000","false","306542","9.99","2437605","12.180356408064696","80","Indie","Tasharen Entertainment Inc.","Tasharen Entertainment Inc.","326410","https://store.steampowered.com/app/326410","1431403200000"
"Chorus","1638507600000","false","160167","24.99","2436992","8.152114581088906","84","AA","Deep Silver","Deep Silver Fishlabs","1153640","https://store.steampowered.com/app/1153640",""
"Fairy Fencer F Advent Dark Force","1487048400000","false","160479","19.99","2426539","16.439436321701756","85","Indie","Idea Factory International","IDEA FACTORY,COMPILE HEART","524580","https://store.steampowered.com/app/524580",""
"Five Nights at Freddy's: Sister Location","1475812800000","false","449785","7.99","2424390","7.721328109553277","91","Indie","Scott Cawthon","Scott Cawthon","506610","https://store.steampowered.com/app/506610",""
"Train Fever","1404172800000","false","164159","19.99","2421098","42.451734161485334","64","AA","Good Shepherd Entertainment","Urban Games","304730","https://store.steampowered.com/app/304730","1409803200000"
"Terraformers","1650513600000","false","176848","19.99","2419085","13.021387546034234","89","Indie","Goblinz Publishing,IndieArk","Asteroid Lab","1244800","https://store.steampowered.com/app/1244800","1678338000000"
"Kentucky Route Zero: PC Edition","1361509200000","false","175874","24.99","2416470","3.4523379879969767","81","Indie","Cardboard Computer","Cardboard Computer","231200","https://store.steampowered.com/app/231200",""
"Rogue Heroes: Ruins of Tasos","1614056400000","false","286837","19.99","2414892","8.058205525490344","79","Indie","Team17 Digital","Heliocentric Studios","787810","https://store.steampowered.com/app/787810",""
"Rail Route","1624420800000","false","149579","24.99","2414533","19.172583373715124","91","Indie","Bitrich.info","Bitrich.info","1124180","https://store.steampowered.com/app/1124180","1708578000000"
"Becastled","1612760400000","true","214851","14.99","2409651","6.195624357380497","83","Indie","Mana Potion Studios","Mana Potion Studios","1330460","https://store.steampowered.com/app/1330460",""
"Lust Academy - Season 1","1649736000000","false","236101","14.99","2408782","6.599200163015969","86","Indie","Bear in the Night","Bear in the Night","1846920","https://store.steampowered.com/app/1846920",""
