"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Star Ruler 2","1404172800000","1427428800000","false","58532","19.99","809231","19.11325955908037","82","Indie","Blind Mind Studios","Blind Mind Studios,Glacicle","282590","https://store.steampowered.com/app/282590"
"Metal Wolf Chaos XD","1565064000000","","false","45704","24.99","809144","3.700551017726692","85","AA","Devolver Digital","General Arcade,FromSoftware, Inc","820630","https://store.steampowered.com/app/820630"
"NOT A HERO","1430438400000","1467950400000","false","171751","19.99","807945","3.354863343820212","87","AA","Devolver Digital","Roll7","274270","https://store.steampowered.com/app/274270"
"Incremental Epic Hero 2","1658462400000","","true","123076","0","805947.0762562297","194.14321571470714","71","Indie","Idle System, Inc.","Hapiwaku","1690710","https://store.steampowered.com/app/1690710"
"Nancy Drew®: Midnight in Salem","1575349200000","","false","44225","21.99","805824","6.461493491243895","55","Indie","HeR Interactive, Inc.","HeR Interactive, Inc.","1038450","https://store.steampowered.com/app/1038450"
"Kingspray Graffiti VR","1481000400000","","false","70611","14.99","805471","5.535609521937241","84","Indie","Infectious Ape","Andrew Bates,Craig Bentick,Nolan Cunningham,Onomis","471660","https://store.steampowered.com/app/471660"
"Far Away","1629172800000","","false","133051","12.99","804872","8.758488774758812","98","Indie","Gratesca","Gratesca","1250760","https://store.steampowered.com/app/1250760"
"Kingsway","1500350400000","","false","120750","9.99","804148","5.696056545689918","92","Indie","Andrew Morrish","Andrew Morrish","588950","https://store.steampowered.com/app/588950"
"Starship EVO","1592539200000","","true","46390","19.99","803834","6.954096612486964","86","Indie","Moonfire Entertainment","Moonfire Entertainment","711980","https://store.steampowered.com/app/711980"
"Red Matter","1541826000000","","false","51461","24.99","803409","2.1100102662019986","90","Indie","Vertical Robot","Vertical Robot","966680","https://store.steampowered.com/app/966680"
"Project Warlock","1544072400000","","false","144272","12","803167","4.769172410833716","87","Indie","Retrovibe,gaming company","Buckshot Software","893680","https://store.steampowered.com/app/893680"
"The Fruit of Grisaia","1432872000000","","false","41793","39.99","802816","22.676248526442237","93","Indie","Frontwing USA","Frontwing","345610","https://store.steampowered.com/app/345610"
"Prince of Persia: The Forgotten Sands™","1275969600000","","false","181199","9.99","802612","4.925063218647495","69","AAA","Ubisoft","Ubisoft Montreal","33320","https://store.steampowered.com/app/33320"
"永远消失的幻想乡 ～ The Disappearing of Gensokyo","1515646800000","","false","129320","10.99","802201","7.622648514929605","84","Indie","MyACG Studio","MyACG Studio","776490","https://store.steampowered.com/app/776490"
"Heroes Of The Dark","1649217600000","","false","15554","0","801139.1445139665","141.69983642581678","62","AA","Gameloft","Gameloft","1851330","https://store.steampowered.com/app/1851330"
"Nickelodeon All-Star Brawl 2","1699333200000","","false","36796","49.99","800591","12.92511775474492","75","Indie","GameMill Entertainment","Fair Play Labs","2017080","https://store.steampowered.com/app/2017080"
"Spell Disk","1695009600000","1709269200000","false","64293","14.99","799999","11.53526387554915","89","Indie","Sunpeak Games","Sunpeak Games","2292060","https://store.steampowered.com/app/2292060"
"Midnight Fight Express","1661227200000","","false","55736","19.99","799171","5.977246826314843","89","AA","Humble Games","Jacob Dzwinel","1390410","https://store.steampowered.com/app/1390410"
"In Verbis Virtus","1398902400000","1428033600000","false","117709","19.99","797921","5.905982520791731","79","Indie","Indomitus Games","Indomitus Games","242840","https://store.steampowered.com/app/242840"
"WRC 5 FIA World Rally Championship","1444276800000","","false","77130","9.99","797190","15.249877789251592","67","AA","Nacon","KT Racing","354160","https://store.steampowered.com/app/354160"
"Path of Kung Fu","1726704000000","","true","65598","14.99","796425","6.063377318942536","71","Indie","Captcha Games","游鲤化龙工作室","2361680","https://store.steampowered.com/app/2361680"
"DYNASTY WARRIORS 7: Xtreme Legends Definitive Edition","1543986000000","","false","69772","19.99","796223","16.95394883630448","86","AA","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","968790","https://store.steampowered.com/app/968790"
"Kingdom Eighties","1687752000000","","false","91503","11.99","796219","6.041342302695336","75","AA","Raw Fury","Fury Studios","1956040","https://store.steampowered.com/app/1956040"
"Disgaea 2 PC","1485752400000","","false","88103","19.99","796175","20.301448538690693","91","Indie","NIS America, Inc.","Nippon Ichi Software, Inc.","495280","https://store.steampowered.com/app/495280"
"Yomawari: Night Alone","1477368000000","","false","98028","19.99","796037","4.791318825708233","78","Indie","NIS America, Inc.","Nippon Ichi Software, Inc.","477870","https://store.steampowered.com/app/477870"
"Skull and Bones","1724284800000","","false","34826","59.99","795969","23.010337690600206","68","AAA","Ubisoft","Ubisoft Singapore","2853730","https://store.steampowered.com/app/2853730"
"Don Bradman Cricket 14","1403668800000","","false","22048","19.99","794690","68.02405880496646","89","Indie","Big Ant Studios","Big Ant Studios","216260","https://store.steampowered.com/app/216260"
"Sword Art Online Re: Hollow Fragment","1534737600000","","false","93248","19.99","794395","13.094109483485223","79","AA","BANDAI NAMCO Entertainment","AQURIA Co., Ltd.","638650","https://store.steampowered.com/app/638650"
"Metal Unit","1580706000000","1611723600000","false","110383","14.99","793505","3.7502534799938863","84","AA","NEOWIZ","JellySnow Studio","1173200","https://store.steampowered.com/app/1173200"
"VAIL VR","1668574800000","1707973200000","false","80326","29.99","793166","4.1243138434641615","80","Indie","AEXLAB","AEXLAB","801550","https://store.steampowered.com/app/801550"
"I'm on Observation Duty 5","1652414400000","","false","90157","9.99","793054","4.885179268119216","97","Indie","Notovia","Notovia","1850550","https://store.steampowered.com/app/1850550"
"Race The Sun","1386565200000","","false","255707","9.99","792402","5.210732187048233","94","Indie","Flippfly LLC","Flippfly LLC","253030","https://store.steampowered.com/app/253030"
"BIT.TRIP RUNNER","1298869200000","","false","268501","9.99","792123","3.339273981819699","86","Indie","Gaijin Games,Choice Provisions","Gaijin Games,Choice Provisions","63710","https://store.steampowered.com/app/63710"
"Angels of Death","1482123600000","","false","142333","9.99","791973","5.616183981893828","95","Indie","Vaka Game Magazine","Vaka Game Magazine,Makoto Sanada","537110","https://store.steampowered.com/app/537110"
"Twilight Struggle","1460520000000","","false","119966","9.99","791832","14.570478271911782","0","Indie","Playdek, Inc.","Playdek, Inc.","406290","https://store.steampowered.com/app/406290"
