"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Spooky's Jump Scare Mansion","1427846400000","1438056000000","false","1174155","0","43511.89573256027","22.855538900186428","93","Indie","Lag Studios","Lag Studios","356670","https://store.steampowered.com/app/356670"
"Little Orpheus","1663041600000","","false","7452","12.99","43508","2.7886811093406654","68","Indie","Secret Mode","The Chinese Room","1558930","https://store.steampowered.com/app/1558930"
"Chronicle of Innsmouth","1493956800000","","false","7453","12.99","43500","3.40435700670733","0","Indie","AtomicHorde","PsychoDev","420180","https://store.steampowered.com/app/420180"
"Kohan: Ahriman's Gift","1314158400000","","false","5885","9.99","43483","71.26280712214857","88","Indie","TimeGate Studios","TimeGate Studios","97120","https://store.steampowered.com/app/97120"
"No Place for Bravery","1663819200000","","false","3175","19.99","43482","3.5749566257753322","74","Indie","Ysbryd Games","Glitch Factory","1039100","https://store.steampowered.com/app/1039100"
"Etherlords II","1392267600000","","false","22704","4.99","43477","9.89779817128208","83","Indie","Nival","Nival","270790","https://store.steampowered.com/app/270790"
"Fritz 18 Steam Edition","1647230400000","","false","768","79.99","43474","122.58931393317863","55","Indie","ChessBase GmbH","ChessBase GmbH","1811070","https://store.steampowered.com/app/1811070"
"An Octave Higher","1427428800000","","false","13370","11.99","43467","5.854629472644673","83","AA","PLAYISM","Kidalang","352780","https://store.steampowered.com/app/352780"
"SGS NATO's Nightmare","1683172800000","","false","2128","29.99","43467","24.487281944761435","82","Indie","Avalon Digital","Strategy Game Studio","1849360","https://store.steampowered.com/app/1849360"
"Starpoint Gemini","1329368400000","","false","9135","13.99","43457","6.473802679950144","33","Indie","Little Green Men Games","Little Green Men Games","108110","https://store.steampowered.com/app/108110"
"COAST GUARD","1445400000000","","false","4597","9.99","43435","4.10367023145385","54","Indie","astragon Sales & Services GmbH","Reality Twist GmbH","361200","https://store.steampowered.com/app/361200"
"Brainwashing with Tentacles R","1716609600000","","false","4572","11.99","43433","1.6305080117123971","74","Indie","Dieselmine","kagurado","2862430","https://store.steampowered.com/app/2862430"
