"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"Animals Memory: Horses","1540267200000","false","437","3.99","228","7.9696533619109635","100","Indie","Laush Studio","Laush Dmitriy Sergeevich","956090","https://store.steampowered.com/app/956090",""
"FortOfTheNight","1531368000000","false","96","10.99","228","0.5066552899198188","33","Hobbyist","BeconGamesCorp","BeconGamesCorp","888740","https://store.steampowered.com/app/888740",""
"Mimicry","1676005200000","true","66","4.99","228","0.8473214373553992","50","Hobbyist","Voyde Studios","Voyde Studios","2251650","https://store.steampowered.com/app/2251650",""
"Music Man 2: New land","1690948800000","false","142","0.99","228","2.0313695006064028","72","Indie","Tero Lunkka","Tero Lunkka,Valkeala Software","2522760","https://store.steampowered.com/app/2522760",""
"Dream Fire","1693454400000","false","27","9.99","228","0.8542393584431798","60","Hobbyist","World Games Development","World Games Development","2294920","https://store.steampowered.com/app/2294920",""
"Loot and Shoot","1697774400000","false","30","9.99","228","4.481706031684425","100","Indie","Zabbo Games","Zabbo Games","2397260","https://store.steampowered.com/app/2397260",""
"1001 Jigsaw World Tour South Korea","1697947200000","false","343","4.99","228","0.3981781997783105","33","Indie","8floor","8floor","2382200","https://store.steampowered.com/app/2382200",""
"My Grandparent's House","1705294800000","false","63","4.99","228","0.41901138389694487","70","Hobbyist","Javier González","Javier González","2753200","https://store.steampowered.com/app/2753200",""
"Moorhuhn Jump and Run 'Traps and Treasures 2'","1713412800000","false","63","4.99","228","1.1942826598387046","33","Hobbyist","Higgs Games GmbH","Higgs Games GmbH,GeekPit Studio","2316970","https://store.steampowered.com/app/2316970",""
"Forest Fellers","1714968000000","false","58","4.99","228","13.026451942326746","75","Hobbyist","TheBigBard","TheBigBard","2874090","https://store.steampowered.com/app/2874090",""
"僵尸（THE JIANG SHI）","1672290000000","false","810","0.99","227","0.6217312586021524","48","Hobbyist","谭浩翔","谭浩翔","2236480","https://store.steampowered.com/app/2236480",""
"Aurelia: Stellar Arising","1652673600000","false","90","1.99","227","0.7213584409612775","40","Hobbyist","A Stormy View Interactive LLC","A Stormy View Interactive LLC","1980680","https://store.steampowered.com/app/1980680",""
"DRUM'N'BASS MASSACRE","1622520000000","false","126","0.99","227","0.30364001570688676","40","Indie","SA Industry","illuminati","1636360","https://store.steampowered.com/app/1636360",""
"Keep Talk Until You Dead","1620100800000","false","72","3.99","227","0.2583044236558459","75","Hobbyist","Alexander Sablin","Alexander Sablin","1594910","https://store.steampowered.com/app/1594910",""
"Guns And Waifus","1608595200000","false","315","1.99","227","0.8617405711492394","80","Indie","Blessing Company","Blessing Company","1451490","https://store.steampowered.com/app/1451490","1604552400000"
"Dead Noir the Heart","1508472000000","false","72","1.99","227","1.5380916450233262","33","Hobbyist","Aundre Rogers","Aundre Rogers","718920","https://store.steampowered.com/app/718920",""
"FORTUNE the FATED","1674104400000","false","72","4.99","227","2.2812438679178224","50","Indie","Hosted Games","Hosted Games","2173270","https://store.steampowered.com/app/2173270",""
"Food Maze","1675400400000","false","45","5.99","227","1.1250876959121325","100","Hobbyist","Simon Delavenne","Simon Delavenne","2273820","https://store.steampowered.com/app/2273820",""
"Xon","1683259200000","false","68","4.99","227","4.52973826541345","100","Hobbyist","Antonio Teyken","Antonio Teyken","2400690","https://store.steampowered.com/app/2400690",""
"The Many Deaths of Lily Kosen","1689825600000","false","70","3.99","227","3.396879912253555","86","Hobbyist","Too Many Teeth Studios","Too Many Teeth Studios","2136180","https://store.steampowered.com/app/2136180",""
"Love Hentai and Puzzles: Cattle and Horses","1668747600000","false","59","4.99","227","1.0530587207587712","67","Hobbyist","Wet Noob","Wet Noob","1768010","https://store.steampowered.com/app/1768010",""
"Jigsaw Novel - Summer Threesome","1647662400000","false","147","1.99","227","0.39970702688665893","60","Indie","EroticGamesClub","EroticGamesClub","1939070","https://store.steampowered.com/app/1939070",""
"Rush On","1699938000000","false","87","2.99","227","1.1588056881716602","100","Hobbyist","Julian Dietz","Julian Dietz","2440060","https://store.steampowered.com/app/2440060",""
