"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Fruit Slice by Motion Capture","1723507200000","false","1","2.49","2","0","0","Hobbyist","Wuhan ydyb Technology Studio","Wuhan ydyb Technology Studio","2786960","https://store.steampowered.com/app/2786960"
"The Waifu Game","1707714000000","false","1","2.95","2","0","0","Hobbyist","Siso","Siso","2787370","https://store.steampowered.com/app/2787370"
"Dirty Rotten Bounders","1707886800000","false","1","2.99","2","0","0","Hobbyist","Paul Savage","Paul Savage","2796280","https://store.steampowered.com/app/2796280"
"Galactic Gauntlet: The Ultimate Interstellar Challenge","1707886800000","true","1","2.99","2","0","100","Hobbyist","Dads In Dungeons Studios","Dads In Dungeons Studios","2796100","https://store.steampowered.com/app/2796100"
"Metaphysical Abyss","1718856000000","false","1","2.99","2","0","0","Hobbyist","Van Veen Productions","Van Veen Productions","2794510","https://store.steampowered.com/app/2794510"
"The Yellow Moon's School: The Ghosts Day","1707886800000","false","1","2.99","2","0","0","Hobbyist","HV","HV","2813970","https://store.steampowered.com/app/2813970"
"Let's Roll","1710993600000","false","1","2.99","2","0","100","Hobbyist","dayme200","dayme200","2817240","https://store.steampowered.com/app/2817240"
"Paintball - the puzzle game","1709096400000","false","1","2.99","2","0","0","Hobbyist","Debuff Interactive","Debuff Interactive","2816390","https://store.steampowered.com/app/2816390"
"Voyeur Sex Toons","1708405200000","false","1","2.99","2","0","0","Hobbyist","Bnanarama","Checo Bustos","2565350","https://store.steampowered.com/app/2565350"
"DrawBall","1709528400000","false","1","2.99","2","0","0","Hobbyist","Quinn's Computing","Quinn's Computing","2822910","https://store.steampowered.com/app/2822910"
"Bodacious Babes: Nightlife","1708578000000","false","1","2.99","2","0","0","Hobbyist","Kodai Magic","Kodai Magic","2819610","https://store.steampowered.com/app/2819610"
"Dental Strike","1713758400000","false","1","2.99","2","0","0","Hobbyist","Joycat Games","Joycat Games","2826700","https://store.steampowered.com/app/2826700"
"Ranch Mayhem - Active Idler","1722470400000","true","1","2.99","2","20.975415542916956","100","Hobbyist","Tobias Graski","Tobias Graski","2818590","https://store.steampowered.com/app/2818590"
"Rabbitra 2","1708578000000","false","1","2.99","2","0","0","Hobbyist","Queen's Chapel Entertainment","Queen's Chapel Entertainment","2826610","https://store.steampowered.com/app/2826610"
"Treasures of the Sunken Ship","1727308800000","true","1","2.99","2","0","0","Hobbyist","SchizoID game studio","SchizoID game studio","2812520","https://store.steampowered.com/app/2812520"
"Path to the Creator","1708750800000","true","1","2.99","2","0","0","Hobbyist","Zentyre","Zentyre","2815670","https://store.steampowered.com/app/2815670"
"Cubic Light","1714104000000","false","1","2.99","2","1.9812264612809898","50","Indie","DillyFrame","DillyFrame","2724510","https://store.steampowered.com/app/2724510"
"Earth Defenders","1709096400000","true","1","2.99","2","0","0","Hobbyist","Frister","Frister","2825650","https://store.steampowered.com/app/2825650"
"JACK STYLER","1714795200000","false","1","2.99","2","0","0","Hobbyist","Demolidor Studio","Demolidor Studio","2640940","https://store.steampowered.com/app/2640940"
"Divine Journey 2: The Five Books of Moses","1710216000000","false","1","2.99","2","0.9642993743733406","0","Hobbyist","BRAVEGIANT LTD","BRAVEGIANT LTD","2828150","https://store.steampowered.com/app/2828150"
"Fear Odyssey","1723161600000","false","1","2.99","2","0.9229042703139715","100","Hobbyist","Natan Mafra Torres","Natan Mafra Torres","2835430","https://store.steampowered.com/app/2835430"
"Cubix","1709701200000","true","1","2.99","2","0","0","Hobbyist","SandD","SandD","2839190","https://store.steampowered.com/app/2839190"
"Galactic Counselors","1710993600000","false","1","2.99","2","0","100","Hobbyist","AcroGames","AcroGames","2842360","https://store.steampowered.com/app/2842360"
"Circle Pong","1711339200000","false","1","2.95","2","0","0","Hobbyist","AuSome Software","AuSome Software","2736700","https://store.steampowered.com/app/2736700"
"DeadballCrusader","1709874000000","false","1","2.99","2","0","0","Hobbyist","Baekgeumdan","Baekgeumdan","2852130","https://store.steampowered.com/app/2852130"
"Mudoku - next Sudoku","1710561600000","false","1","2.99","2","0","0","Hobbyist","Coremedia,inc.","Coremedia,inc.","2860250","https://store.steampowered.com/app/2860250"
