"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"SENRAN KAGURA Peach Beach Splash","1520398800000","false","154602","29.99","2751583","17.8598234679909","80","AA","XSEED Games,Marvelous USA, Inc.,Marvelous","Tamsoft","696170","https://store.steampowered.com/app/696170",""
"Hand Simulator","1500350400000","false","3245529","2.99","2746313","4.995470461483127","84","Indie","HFM Games","HFM Games","657200","https://store.steampowered.com/app/657200",""
"Disney Speedstorm","1681790400000","false","381051","0","2743844","23.096020091552795","69","AA","Gameloft","Gameloft","1537830","https://store.steampowered.com/app/1537830","1695873600000"
"WGT Golf","1586750400000","true","311858","0","2743654.337771087","11.440942032376824","62","Indie","Topgolf Media","Topgolf Media","1182020","https://store.steampowered.com/app/1182020",""
"Heavenly Bodies","1638853200000","false","200036","19.99","2742021","4.563148920807343","96","Indie","2pt Interactive","2pt Interactive","1138850","https://store.steampowered.com/app/1138850",""
"Rayman® Origins","1332993600000","false","412064","19.99","2740926","6.485912309187848","94","AAA","Ubisoft","Ubisoft Montpellier","207490","https://store.steampowered.com/app/207490",""
"Cooking Simulator VR","1627531200000","false","151834","24.99","2735736","2.3967947775276874","83","Indie","Big Cheese Studio,PlayWay S.A.","GameBoom VR","1358140","https://store.steampowered.com/app/1358140",""
"Yet Another Zombie Survivors","1689220800000","true","380279","9.99","2735538","13.593210200473841","91","Indie","Awesome Games Studio","Awesome Games Studio","2163330","https://store.steampowered.com/app/2163330",""
"Stolen Realm","1634184000000","false","187176","19.99","2733762","21.665654659485483","88","Indie","Burst2Flame Entertainment","Burst2Flame Entertainment","1330000","https://store.steampowered.com/app/1330000","1709874000000"
"Saints Row","1692849600000","false","202429","29.99","2732325","13.464889413480043","61","AA","Deep Silver","Volition","742420","https://store.steampowered.com/app/742420",""
"Tales of Symphonia","1454302800000","false","345448","19.99","2731919","12.449990922874886","86","AA","BANDAI NAMCO Entertainment","BANDAI NAMCO Entertainment Inc.","372360","https://store.steampowered.com/app/372360",""
"The Casting of Frank Stone™","1725321600000","false","75833","39.99","2729305","4.793829363021882","63","AA","Behaviour Interactive Inc.","Supermassive Games","2223840","https://store.steampowered.com/app/2223840",""
"SYNTHETIK: Legion Rising","1521086400000","false","321842","19.99","2728787","18.98343770423938","94","Indie","Flow Fire Games,WhisperGames","Flow Fire Games","528230","https://store.steampowered.com/app/528230",""
"Brigador: Up-Armored Edition","1398902400000","false","239483","24.99","2726814","7.34477189940449","94","Indie","Stellar Jockeys","Stellar Jockeys,Gausswerks","274500","https://store.steampowered.com/app/274500","1464840000000"
"Bloons TD 5","1416373200000","false","640222","9.99","2724723","31.687262148808898","95","Indie","Ninja Kiwi","Ninja Kiwi","306020","https://store.steampowered.com/app/306020",""
"Serious Sam 2","1327986000000","false","1071049","9.99","2721773","5.862610911308592","90","AA","Devolver Digital","Croteam","204340","https://store.steampowered.com/app/204340",""
"Party Hard","1440475200000","false","642450","9.99","2720362","5.601735323842604","90","AA","tinyBuild","Pinokl Games,Kverta","356570","https://store.steampowered.com/app/356570",""
"Despot's Game: Dystopian Battle Simulator","1634184000000","false","240812","19.99","2718152","7.097409408144914","86","AA","tinyBuild","Konfa Games","1227280","https://store.steampowered.com/app/1227280","1664424000000"
"LoveBeat","1452661200000","false","114598","0","2717246.6299613556","126.25923607917262","75","Indie","CRAZYDIAMOND CO., LTD.","CRAZYDIAMOND CO., LTD.","354290","https://store.steampowered.com/app/354290",""
"SAMURAI SHODOWN","1623643200000","false","118831","0","2713644.177713694","4.484637687931883","79","Indie","SNK CORPORATION","SNK CORPORATION","1342260","https://store.steampowered.com/app/1342260",""
"FATAL FRAME / PROJECT ZERO: Maiden of Black Water","1635307200000","false","104967","39.99","2712995","8.713318092128588","81","AA","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","1732190","https://store.steampowered.com/app/1732190",""
"Astro Colony","1667797200000","true","173861","19.99","2711928","15.372319498737538","83","Indie","Terad Games","Terad Games","1614550","https://store.steampowered.com/app/1614550",""
"Word Game","1642741200000","false","134262","34.99","2700456","5.1300087599805915","94","Indie","Team9,indienova,Path","Team9","1109570","https://store.steampowered.com/app/1109570",""
"Dead Rising Deluxe Remaster","1726617600000","false","60022","49.99","2700449","7.051329280764364","81","AAA","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","2527390","https://store.steampowered.com/app/2527390",""
"Ashes of the Singularity: Escalation","1478754000000","false","178505","29.99","2695804","12.460219028418479","75","Indie","Stardock Entertainment","Stardock Entertainment,Oxide Games","507490","https://store.steampowered.com/app/507490",""
"Tiny Rogues","1663905600000","true","436623","9.99","2694267","14.644431350068558","97","Indie","RubyDev","RubyDev","2088570","https://store.steampowered.com/app/2088570",""
"Let's School","1690344000000","false","186319","19.99","2692282","22.955724741702426","93","Indie","Pathea Games,PM Studios, inc.","Pathea Games","1937500","https://store.steampowered.com/app/1937500",""
"Moving Out","1588046400000","false","219301","24.99","2688821","4.182840573904924","79","AA","Team17","SMG Studio,Devm Games","996770","https://store.steampowered.com/app/996770",""
"Eternal Card Game","1477958400000","false","564972","0","2687950.1616924973","49.747723296316536","78","Indie","Dire Wolf","Dire Wolf","531640","https://store.steampowered.com/app/531640","1542258000000"
