"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Sky Haven Tycoon - Airport Simulator","1606280400000","1668920400000","false","43002","19.49","634418","11.957414618484576","67","Indie","Real Welders","Real Welders","674090","https://store.steampowered.com/app/674090"
"Totally Accurate Battlegrounds","1528171200000","","false","8296395","0","634385.1292747068","4.998154827345766","88","AA","Landfall","Landfall","823130","https://store.steampowered.com/app/823130"
"Florence","1581570000000","","false","277801","5.99","633896","1.497402144632082","94","AA","Annapurna Interactive","Mountains","1102130","https://store.steampowered.com/app/1102130"
"The Darkside Detective","1501128000000","","false","98679","14.99","633732","3.3424955260151146","95","Indie","Akupara Games","Spooky Doorway","368390","https://store.steampowered.com/app/368390"
"Monster Energy Supercross - The Official Videogame 3","1580792400000","","false","38075","24.99","633595","25.3632051554865","88","Indie","Milestone S.r.l.","Milestone S.r.l.","1089830","https://store.steampowered.com/app/1089830"
"Garten of Banban 4","1691726400000","","false","68805","9.99","633430","4.693619606749683","74","Indie","Euphoric Brothers","Euphoric Brothers","2383120","https://store.steampowered.com/app/2383120"
"Rune Factory 3 Special","1693886400000","","false","25253","39.99","633264","21.86428306304791","0","AA","XSEED Games,Marvelous USA, Inc.,Marvelous","Marvelous Inc.","2243710","https://store.steampowered.com/app/2243710"
"Cross Blitz","1701234000000","","true","39203","19.99","633209","10.347362155435613","69","Indie","The Arcade Crew,Gamera Games","Tako Boy Studios LLC","1619520","https://store.steampowered.com/app/1619520"
"Blood and Gold: Caribbean!","1449723600000","","false","72146","19.99","632673","11.674177517742166","60","Indie","Snowbird Games","Snowbird Games","413710","https://store.steampowered.com/app/413710"
"West of Dead","1592452800000","","false","67867","19.99","632078","5.177837531518272","73","AA","Raw Fury","Upstream Arcade","1016790","https://store.steampowered.com/app/1016790"
