"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"The Construct","1473652800000","false","11251","4.99","7662","5.024943250852724","64","Hobbyist","Cannibal Panda Studios","Cannibal Panda Studios","525190","https://store.steampowered.com/app/525190",""
"Mess Quest","1667970000000","false","1927","3.99","7658","3.990089669400908","95","Indie","Ryan Forrester","Ryan Forrester","2113490","https://store.steampowered.com/app/2113490",""
"Girlfriend from Hell","1716696000000","false","2563","5.5","7658","0.6030535931150751","84","Hobbyist","That Guy's Games","That Guy's Games","2584650","https://store.steampowered.com/app/2584650",""
"Why Is There A Girl In My House?!","1571371200000","false","2844","2.99","7653","1.308576279401078","89","Indie","Top Hat Curios & Oddities","Betulasoft","1155720","https://store.steampowered.com/app/1155720",""
"Mr.Brocco & Co","1662782400000","false","851","9.99","7651","1.2526628862737386","84","Indie","VICTORIA Games","VICTORIA Games","2074560","https://store.steampowered.com/app/2074560",""
"Viaerium","1508817600000","false","5485","2.99","7651","0.4020313637831873","84","Hobbyist","Malevolent Wormhole","Malevolent Wormhole","728870","https://store.steampowered.com/app/728870",""
"Caffeine: Victoria's Legacy","1580360400000","false","570","17.99","7650","10.922243273409723","91","Indie","Kikai Digital","Kikai Digital","890700","https://store.steampowered.com/app/890700","1584676800000"
"Newt One","1549602000000","false","1288","9.99","7648","2.0432875945328726","65","Hobbyist","DevNAri,Whitethorn Games","DevNAri","842850","https://store.steampowered.com/app/842850","1567742400000"
"MOVERS IN THE WAREHOUSE","1636588800000","false","340","24.99","7646","1.5635881953712403","69","Indie","Piece Of Voxel","Bocharov Games","1751190","https://store.steampowered.com/app/1751190","1632801600000"
"Vessels","1607403600000","false","2842","0.99","7643","1.776316655718781","95","Hobbyist","Local Space Survey Corps, LLC","Local Space Survey Corps","1371330","https://store.steampowered.com/app/1371330",""
"Elfheim - Chapter 1","1677733200000","false","1702","4.99","7643","0.8876512137029318","87","Hobbyist","Sunnaware","Sunnaware","2016350","https://store.steampowered.com/app/2016350",""
"Meet me at NooN","1655697600000","false","1512","9.99","7639","2.8887499641667","100","Indie","Pandaroo Interactive","Pandaroo Interactive","1880490","https://store.steampowered.com/app/1880490",""
"Awesome Pea","1537329600000","false","3514","4.99","7639","1.4624104632661066","85","Indie","PigeonDev","PigeonDev","916950","https://store.steampowered.com/app/916950",""
"Ambition of the Slimes","1518670800000","false","2287","4.99","7638","13.987761722175426","91","Indie","Flyhigh Works,CIRCLE Entertainment","altairworks","568910","https://store.steampowered.com/app/568910",""
"BOOKS","1503460800000","false","15973","0.99","7637","14.082994098970536","61","Indie","UNIOCS","UNIOCS","690740","https://store.steampowered.com/app/690740",""
"Alien Scumbags","1592366400000","false","1856","5.99","7635","2.1931945134978994","97","Hobbyist","Monster Finger Games","Monster Finger Games","1252410","https://store.steampowered.com/app/1252410",""
"GUTS","1510635600000","false","560","9.99","7634","2.9620276389197877","79","Indie","Libredia Entertainment","Flux Games Inc.","682810","https://store.steampowered.com/app/682810",""
"Beyond Reality","1452229200000","false","8688","4.99","7634","4.5299656806166375","81","Indie","Aldorlea Games","EternalShadow Studios","428100","https://store.steampowered.com/app/428100",""
"Necken","1548910800000","false","750","4.99","7632","2.454197114477606","91","Hobbyist","Joccish","Joccish","985510","https://store.steampowered.com/app/985510","1618286400000"
"Ultimate Godspeed","1716782400000","false","795","12.99","7630","1.870671863939686","97","Hobbyist","Ninoko","Ninoko","1435750","https://store.steampowered.com/app/1435750",""
"Of Ships & Scoundrels","1573707600000","true","703","14.99","7628","2.466146410177701","65","Indie","Korion Interactive","Korion Interactive","933830","https://store.steampowered.com/app/933830",""
"7 Wonders: Magical Mystery Tour","1392699600000","false","2555","6.99","7628","12.213416625671234","90","Indie","Accelerate Games","MumboJumbo","275830","https://store.steampowered.com/app/275830",""
"Kindred Fates: Combat Arena Alpha","1620014400000","false","175","54.99","7626","17.546962907921596","82","Hobbyist","Skymill Studios","Skymill Studios","1351510","https://store.steampowered.com/app/1351510",""
"Moorhuhn: Tiger and Chicken","1411531200000","false","2668","4.99","7626","3.535465446078192","83","Hobbyist","Young Fun Studio by Higgs Games GmbH","Deck 13","321940","https://store.steampowered.com/app/321940",""
"Breath of Ghosts","1654747200000","false","900","24.99","7625","0.9392279329012846","41","Indie","Piece Of Voxel","Piece Of Voxel","1991900","https://store.steampowered.com/app/1991900",""
"Jones On Fire","1427428800000","false","5480","2.99","7625","2.980934220229023","59","Indie","Glass Bottom Games","Glass Bottom Games","270810","https://store.steampowered.com/app/270810",""
"GIGABUSTER","1664769600000","false","792","14.99","7624","3.124799131770451","61","Hobbyist","WALLER","WALLER","981830","https://store.steampowered.com/app/981830",""
"Watch Over Christmas","1640062800000","false","756","16.99","7623","11.303305881498064","96","Indie","Dionous Games","Dionous Games","825060","https://store.steampowered.com/app/825060",""
"Manager can be Tough!: Case of the Kidnapped Waitress","1690430400000","false","962","12.99","7623","1.0096247439685941","56","Indie","Eroge Japan","One Man Army","2262990","https://store.steampowered.com/app/2262990",""
