"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Fourtex Jugo","1477958400000","1492056000000","false","90","4.99","554","1.2458564830788357","50","Hobbyist","Salty Dog Digital","Salty Dog Digital","499560","https://store.steampowered.com/app/499560"
"Edgar","1459224000000","","false","294","4.99","554","1.7794424886019704","65","Hobbyist","Lucas Parise,Mind Flayer Studios","Lucas Parise,Mind Flayer Studios","455640","https://store.steampowered.com/app/455640"
"A Day in the Park","1630987200000","","false","138","4.99","554","1.0152522070205996","83","Hobbyist","Deevilj","Deevilj","1730670","https://store.steampowered.com/app/1730670"
"Emi - Christmas Special","1705035600000","","false","376","1.99","554","1.6767960885788913","91","Indie","CellStudios,Wizard++","CellStudios,Wizard++","2700910","https://store.steampowered.com/app/2700910"
"Exp10sion","1701925200000","","false","224","2.99","554","0.8784125322599651","96","Hobbyist","Exp10sion Studio","Exp10sion Studio","2618850","https://store.steampowered.com/app/2618850"
"Rise Eterna War","1724284800000","","false","68","9.99","554","1.8533027464837113","73","Indie","Forever Entertainment S. A.","Makee,Beast Games S. A.","2739930","https://store.steampowered.com/app/2739930"
"Ninja 1987","1725235200000","","false","148","4.99","554","1.0067942068557987","75","Indie","SEEP","SEEP","3031130","https://store.steampowered.com/app/3031130"
"Music Man","1655352000000","","false","230","0.99","553","0.811833004590121","94","Indie","Valkeala Software","Tero Lunkka,Valkeala Software,NTStudios","2009560","https://store.steampowered.com/app/2009560"
"NARGUL - Humans are among us","1651291200000","","false","144","11.99","553","1.4566027520458278","78","Hobbyist","3DDD Games","3DDD Games","1646810","https://store.steampowered.com/app/1646810"
"HelloWorld:ESCAPE","1644987600000","","false","532","1.99","553","1.5871267517353695","89","Hobbyist","SandwichStudio","SandwichStudio","1833850","https://store.steampowered.com/app/1833850"
"No Haste","1641531600000","","false","135","4.99","553","0.411681950282875","100","Hobbyist","EpicVirtual","EpicVirtual","1826540","https://store.steampowered.com/app/1826540"
"Confessions at Candlewood Lake","1632456000000","","false","162","6.99","553","2.0865640343641942","33","Indie","Little Black Book Entertainment","Double Peach Productions","1746530","https://store.steampowered.com/app/1746530"
"ZHED - Puzzle Game","1587009600000","","false","253","3.99","553","2.963794059971262","100","Hobbyist","Ground Control Studios","Ground Control Studios","543040","https://store.steampowered.com/app/543040"
"Blink Cam","1576645200000","","false","88","1.99","553","0.5923816431335615","93","Hobbyist","ZLM Crafter - Game Team","WONG KWAN CHI","1204360","https://store.steampowered.com/app/1204360"
"Indoor Rock Climbing VR","1514523600000","","false","162","4.99","553","0.2345403207037925","33","Hobbyist","","Builder7","767330","https://store.steampowered.com/app/767330"
"Quantum Wizard","1498867200000","1507003200000","false","45","0.99","553","2.1369843074956316","100","Hobbyist","Bad Gravity","Bad Gravity","660980","https://store.steampowered.com/app/660980"
"Super GunWorld 2","1471406400000","","false","168","7.99","553","3.446658341195229","62","Hobbyist","m07games","m07games","514220","https://store.steampowered.com/app/514220"
"Spooky Mansion Manager","1662004800000","","false","140","4.99","552","2.2301054654863472","92","Hobbyist","Saksorb","Saksorb","2104780","https://store.steampowered.com/app/2104780"
"Roly Poly","1650340800000","","false","115","8.99","552","2.0867663836470403","80","Hobbyist","echomune","echomune","1906750","https://store.steampowered.com/app/1906750"
"Kingslayer: The First Assassin","1617854400000","","false","936","0.99","552","1.0909297092547445","100","Indie","Old School Vibes","Old School Vibes","1490490","https://store.steampowered.com/app/1490490"
"The Trivial Dead","1615867200000","","false","152","5.99","552","1.2026456492514288","89","Hobbyist","Big Red Eight","Big Red Eight","1249190","https://store.steampowered.com/app/1249190"
"Slide Stories: Bonds & Memories","1608008400000","","false","675","1.99","552","1.6561723362271836","97","Hobbyist","Remix Games","Remix Games,Gregory Oliveira","1483940","https://store.steampowered.com/app/1483940"
"妙语连珠","1593057600000","","false","280","2.99","552","2.716827786812157","89","Hobbyist","杨云卿","杨云卿","1328760","https://store.steampowered.com/app/1328760"
"Repressed","1569470400000","","false","216","9.99","552","1.6640579427903381","75","Hobbyist","Sigur Studio","Sigur Studio","1127820","https://store.steampowered.com/app/1127820"
"Christmas Mahjong","1543813200000","","false","686","4.99","552","21.948495881239467","72","Indie","8floor","Creobit","929440","https://store.steampowered.com/app/929440"
"Mister Mart","1488326400000","1535515200000","false","126","2.99","552","0.8194197748930157","86","Hobbyist","Studio217, LLC","Studio217, LLC","599180","https://store.steampowered.com/app/599180"
"Heroes from the Past: Joan of Arc","1469073600000","","false","161","6.99","552","12.119488371241928","83","Indie","Big Fish Games","Green Sauce Games","503050","https://store.steampowered.com/app/503050"
"Minigame Party VR","1459828800000","","false","150","0.99","552","1.4414608803673599","67","Hobbyist","Scornz","Scornz","457870","https://store.steampowered.com/app/457870"
"Tsundere Girls","1661918400000","","false","360","0.99","552","46.23780132410245","79","Indie","IR Studio","IR Studio","2114750","https://store.steampowered.com/app/2114750"
"The Island","1692590400000","","false","185","5.99","552","0.1977083333333332","0","Hobbyist","Heartstrings Interactive","Heartstrings Interactive","2516050","https://store.steampowered.com/app/2516050"
"Balling Up","1727222400000","","false","171","3.99","552","2.5237505594154177","97","Indie","RedKar Devs,Hawthorn Games","RedKar Devs","2593440","https://store.steampowered.com/app/2593440"
"Synthwave FURY","1654747200000","1675918800000","false","252","2.99","551","0.7729675563198876","33","Hobbyist","New England Interactive","New England Interactive","1984710","https://store.steampowered.com/app/1984710"
