"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Yu Escape / Monday","1588305600000","false","55044","0","0","1.621785339544008","84","Indie","TinyHat Studios","Team Tailnut","1177720","https://store.steampowered.com/app/1177720"
"Strip 'Em","1587096000000","false","16038","0","0","10.668792976842758","82","Indie","DreamBig Games,XXX Dev CIRCLE","DreamBig Games","1274940","https://store.steampowered.com/app/1274940"
"A Buttload of Free Games","1586491200000","false","5771","0","0","9.482125020932394","72","Hobbyist","Sebastian Scaini","Del Nordlund,Patrick Flattery,Sebastian Scaini","1275070","https://store.steampowered.com/app/1275070"
"AChat","1585972800000","false","73708","0","0","21.14345670432195","59","Hobbyist","AChat Animation Studios","AChat Animation Studios","1245610","https://store.steampowered.com/app/1245610"
"Harem Girl: Nikki","1585540800000","false","14911","0","0","2.317190953137555","68","Indie","Dharker Studios","Dharker Studios","1008210","https://store.steampowered.com/app/1008210"
"Harem Girl: Alicia","1584676800000","false","11385","0","0","1.5401285137153873","77","Indie","Dharker Studios","Dharker Studios","1005520","https://store.steampowered.com/app/1005520"
"Puzzle Girls: Alexa","1583384400000","false","8591","0","0","1.6912495066620763","75","Indie","Dharker Studios","Dharker Studios","1255830","https://store.steampowered.com/app/1255830"
"Yes, Master!","1581656400000","false","112428","0","0","10.748924270461625","76","Indie","Ktulhu Solutions","sexandglory","1090900","https://store.steampowered.com/app/1090900"
"Hentai Honeys Slider","1581570000000","false","15593","0","0","3.9883389406962184","79","Hobbyist","Cyberworks","Cyberworks","1134440","https://store.steampowered.com/app/1134440"
"Hentai Honeys Jigsaw","1581570000000","false","17325","0","0","6.577440027394099","82","Hobbyist","Cyberworks","Cyberworks","1233210","https://store.steampowered.com/app/1233210"
"Just Chatting","1581570000000","false","3240","0","0","0.45154716279337637","49","Hobbyist","SunshineOvercast","SunshineOvercast","1221560","https://store.steampowered.com/app/1221560"
"Dimensions VIP","1580965200000","true","4010","0","0","27.868351365850387","44","Hobbyist","MOBSoft Funstuff Inc.","MOBSoft Funstuff Inc.","1127940","https://store.steampowered.com/app/1127940"
"Oppaidius Tropical Cruise!","1579150800000","false","10710","0","0","4.195199287724664","91","Indie","Vittorio Giorgi (SbargiSoft)","Vittorio Giorgi (SbargiSoft)","1179100","https://store.steampowered.com/app/1179100"
"Beneath steel clouds","1578632400000","false","22833","0","0","4.647562663416936","61","Indie","Lesson of Passion","Lesson of Passion","1198260","https://store.steampowered.com/app/1198260"
"Taimanin Asagi 1: Trial","1575867600000","false","14256","0","0","2.2565425472816885","81","Indie","Infini-Brain inc.","LiLith","1152100","https://store.steampowered.com/app/1152100"
"Fap Queen 2","1575262800000","false","105907","0","0","19.445671753124845","83","Hobbyist","Yaluar01","Yaluar01","1173280","https://store.steampowered.com/app/1173280"
"The Rest of Our Lives","1572930000000","false","4851","0","0","0.9731011760557083","71","Hobbyist","Uncle Artie","Uncle Artie","1169170","https://store.steampowered.com/app/1169170"
"Hard Love - Darkest Desire","1572494400000","true","16457","0","0","16.589411351124568","78","Hobbyist","MMV-DeepBride","MinitorMazerV","1135680","https://store.steampowered.com/app/1135680"
"Lust from Beyond: Prologue","1572494400000","false","135360","0","0","1.954261722976198","88","Indie","Movie Games S.A.","Movie Games Lunarium","1170820","https://store.steampowered.com/app/1170820"
"Breeders of the Nephelym: Alpha","1571371200000","true","806027","0","0","17.920582408030548","90","Hobbyist","DerelictHelmsman","DerelictHelmsman","1161770","https://store.steampowered.com/app/1161770"
"ViRo Playspace","1568347200000","true","38475","0","0","1.8434058340882202","41","Hobbyist","LewdTube LLC","LewdTube LLC","1121310","https://store.steampowered.com/app/1121310"
"Blood and Lust","1564804800000","false","22077","0","0","2.9988197212517127","84","Indie","Ertal Games","Ertal Games","1064140","https://store.steampowered.com/app/1064140"
"eMemories","1563508800000","false","6480","0","0","0.4001638725501566","69","Hobbyist","Kavka Games","Irmaszka Kavka","1064020","https://store.steampowered.com/app/1064020"
"Drumpf 2: Lost, But Not Forgotten!","1563163200000","false","841","0","0","3.0665240698766643","94","Hobbyist","DP3 Softworks","DP3 Softworks","1039290","https://store.steampowered.com/app/1039290"
"A Lazy Magic Teacher","1562817600000","false","3888","0","0","0.5696442566399881","58","Hobbyist","Torvelt","Torvelt","1104710","https://store.steampowered.com/app/1104710"
"Pact with a witch","1561435200000","true","121547","0","0","5.221441755278489","93","Hobbyist","jonnymelabo","jonnymelabo","865570","https://store.steampowered.com/app/865570"
"Monster Girl Island: Prologue","1560916800000","false","1158503","0","0","6.944401644016598","95","Hobbyist","Redamz","Redamz","943700","https://store.steampowered.com/app/943700"
"Femdom Waifu","1552021200000","false","101320","0","0","22.579815050039272","69","Indie","Zee Vital","Zee Vital,Marco Marco","1024800","https://store.steampowered.com/app/1024800"
"The Last Sovereign","1550206800000","true","41715","0","0","54.09015960990321","96","Indie","Sierra Lee","Sierra Lee","951830","https://store.steampowered.com/app/951830"
"Unravel Cyndy","1549774800000","false","5468","0","0","2.194814928128435","69","Indie","DreamBig Games,XXX Dev CIRCLE","DreamBig Games","1021860","https://store.steampowered.com/app/1021860"
"Undress Tournament","1548306000000","false","12049","0","0","3.628491948458462","47","Hobbyist","HawkX Games","HawkX Games,Double Mirage Studio","966460","https://store.steampowered.com/app/966460"
"Mojo XXX","1548133200000","false","28046","0","0","1.7640688268141564","82","Indie","L. Stotch","L. Stotch","975350","https://store.steampowered.com/app/975350"
"SinVR","1545368400000","false","115682","0","0","1.2772191838877949","59","Indie","SinVR","SinVR","966870","https://store.steampowered.com/app/966870"
"HOT FIT!","1543554000000","false","12656","0","0","4.455790212150801","78","Hobbyist","Cyberworks","Cyberworks","962380","https://store.steampowered.com/app/962380"
"Second Chance","1542862800000","true","111078","0","0","12.588450788675091","84","Hobbyist","C&E","COMAN,Eliana-Asato","958720","https://store.steampowered.com/app/958720"
"Pocket Waifu","1542085200000","false","68706","0","0","27.066688079275604","61","Hobbyist","JNT Games","JNT Games","944110","https://store.steampowered.com/app/944110"
"Cute Puzzle","1541044800000","false","21060","0","0","5.0300344376699355","80","Indie","WhiteCute,AlphaNuts","WhiteCute,AlphaNuts","959500","https://store.steampowered.com/app/959500"
"Paradise Cleaning!","1540872000000","false","92140","0","0","0.9480907199740607","94","Indie","PRODUCTION PENCIL","PIXEL MINT","950460","https://store.steampowered.com/app/950460"
"Fap Queen","1540526400000","false","151317","0","0","18.67721345633911","81","Hobbyist","Yaluar","Yaluar","942140","https://store.steampowered.com/app/942140"
"Spiral Clicker","1540353600000","true","129276","0","0","24.757235579678998","89","Hobbyist","Changer,Shady Corner Games","Changer","950860","https://store.steampowered.com/app/950860"
"Synthetic Love","1539576000000","false","2302","0","0","0.7188455442094084","39","Hobbyist","KEXBOY","KEXBOY","861260","https://store.steampowered.com/app/861260"
"Booty Calls","1537243200000","false","319498","0","0","44.56527035962635","57","Indie","Nutaku Publishing","3X Entertainment Limited","823550","https://store.steampowered.com/app/823550"
"Mojo: Hanako","1532664000000","false","80420","0","0","1.2374763835953404","80","Indie","L. Stotch","L. Stotch","892630","https://store.steampowered.com/app/892630"
"XXX Puzzle","1529035200000","false","42125","0","0","2.0059981895917667","63","Indie","L. Stotch","L. Stotch","874650","https://store.steampowered.com/app/874650"
"MONMUSU","1526011200000","false","543479","0","0","38.137741418134965","80","Indie","NEKO WORKs","Tentacle Games","533540","https://store.steampowered.com/app/533540"
"Amorous","1523592000000","false","1091981","0","0","6.80021011287525","84","Hobbyist","Snaggletooth Studios","Team Amorous","778700","https://store.steampowered.com/app/778700"
"PICNIC","1520139600000","false","236","0","0","1.0639390104558966","100","Hobbyist","A.D. Klumpp","A.D. Klumpp","805260","https://store.steampowered.com/app/805260"
"You Must be 18 or Older to Enter","1509336000000","false","29304","0","0","1.134971206908876","83","Hobbyist","Seemingly Pointless","Seemingly Pointless","608510","https://store.steampowered.com/app/608510"
"MobileZombie","1507867200000","false","2430","0","0","0.353033778856937","67","Hobbyist","YIMING ZHANG","YIMING ZHANG","694180","https://store.steampowered.com/app/694180"
"XXZ","1506657600000","false","73764","0","0","13.956077010179932","73","Indie","L. Stotch","L. Stotch","692920","https://store.steampowered.com/app/692920"
