"label","numberOfGames","totalRevenue","averageRevenue","averagePrice","averagePlayTime","medianRevenue","top25","top5","bottom30"
"2008","142","206681204.55273733","1455501.4405122346","9.698380281690147","11.771122432815787","80294","839980","6319821","29207"
"2009","311","729231628.8006679","2344796.234085749","9.816752411575482","11.658109784134052","85196","392508","10510846.907228786","29294"
"2010","277","565289045.4669907","2040754.6767761398","8.158519855595632","11.071500267376452","55801","221938","11945662","8363"
"2011","271","743672143.590426","2744177.651625188","9.501881918819135","9.415371301589225","120494","623997","12773622","37056"
"2012","326","8791729628.211298","26968495.792059198","10.48450920245388","11.130763243571213","165975","982139","26662119","47093"
"2013","444","4585689481.816152","10328129.463549891","11.33191441441427","12.130882058403238","215154","1165614","15799558","71376"
"2014","1472","1598075330.384598","1085649.0016199716","9.276589673912854","9.543326055658303","36052","175728","4726590","10948"
"2015","2411","3402679185.19727","1411314.4691817793","8.179688925757237","9.32640514314013","13856","74812","2511780","4010"
"2016","3970","4086900188.4521546","1029445.891297772","7.51840302267089","7.648681069202703","6298","41524","1294279","1884"
"2017","5670","7818226614.12282","1378875.9460534074","7.313118165784782","7.6349284042833965","2317","18212","866537","549"
"2018","7186","3758912292.7589164","523088.2678484437","7.079284720288814","6.473726942583021","1016","9480","527890","200"
"2019","7091","4423204046.913657","623777.1889597599","7.445499929487311","6.135245005540257","681","8666","579485","92"
"2020","8721","6158675057.056797","706189.0903631231","7.37436532507644","5.657336325734268","611","7701","533989","90"
"2021","10420","4030494991.8798766","386803.7420230208","7.785595009598044","5.525435612038059","507.92016635361364","5213","427275","82"
"2022","11479","5120678665.050152","446091.0066251548","8.309496471820095","5.373562083600692","437","5163","364165","67"
"2023","13660","5232509300.246164","383053.3894762931","8.729772327967625","5.0911516642623305","269","4040","343733","42"
"2024","13728","4770810378.890267","347524.06606135395","8.350855186482676","4.203967321590911","140","2268","193363","13"
