"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"Uncharted Waters Origin","1677992400000","false","117478","0","6865420.440296046","185.0985527936405","44","Indie","LINE Games Corporation","KOEI TECMO GAMES CO., LTD.,LINE Games Corporation,Motif Co.,Ltd.","1574360","https://store.steampowered.com/app/1574360",""
"Wolfenstein: Youngblood","1564027200000","false","481198","19.99","6864884","11.069213167251284","45","AAA","Bethesda Softworks","Machine Games,Arkane Studios","1056960","https://store.steampowered.com/app/1056960",""
"System Shock","1685419200000","false","251132","39.99","6863912","15.090184287417282","93","AA","Prime Matter","Nightdive Studios","482400","https://store.steampowered.com/app/482400",""
"Skater XL - The Ultimate Skateboarding Game","1545195600000","false","350211","39.99","6854417","37.545965346744055","86","Indie","Easy Day Studios Pty Ltd","Easy Day Studios Pty Ltd","962730","https://store.steampowered.com/app/962730","1595908800000"
"NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution","1410753600000","false","435405","29.99","6842955","13.096125914298542","84","AA","BANDAI NAMCO Entertainment","CyberConnect2 Co., Ltd.","272510","https://store.steampowered.com/app/272510",""
"My Singing Monsters","1616558400000","false","1670884","0","6840167.247724177","8.38523485352722","94","Indie","Big Blue Bubble","Big Blue Bubble","1419170","https://store.steampowered.com/app/1419170",""
"SpaceEngine","1560225600000","true","354276","29.99","6835145","8.537703445921764","96","Indie","Cosmographic Software","Cosmographic Software","314650","https://store.steampowered.com/app/314650",""
"Antichamber","1359608400000","false","1007580","19.99","6835129","4.364817941320931","95","Indie","Demruth","Alexander Bruce","219890","https://store.steampowered.com/app/219890",""
"BioShock™ 2 Remastered","1473912000000","false","1127980","19.99","6825066","6.61916519605243","69","AAA","2K,Feral Interactive (Mac)","2K Marin,2K China,Digital Extremes,2K Australia,Blind Squirrel,Feral Interactive (Mac)","409720","https://store.steampowered.com/app/409720",""
"Day of Infamy","1467331200000","false","792308","14.99","6787722","17.828392368263636","83","Indie","New World Interactive","New World Interactive","447820","https://store.steampowered.com/app/447820","1490241600000"
"Fate/Samurai Remnant","1695873600000","false","153234","59.99","6777543","19.96215295571839","92","AA","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","1902690","https://store.steampowered.com/app/1902690",""
"War for the Overworld","1367366400000","false","468789","29.99","6776937","14.763062350219155","86","Indie","Brightrock Games","Brightrock Games","230190","https://store.steampowered.com/app/230190","1427947200000"
"FIVE NIGHTS AT FREDDY'S: HELP WANTED","1559016000000","false","342749","29.99","6775757","6.213824845298127","96","Indie","ScottGames","Steel Wool Studios","732690","https://store.steampowered.com/app/732690",""
"Carnal Instinct","1614574800000","true","292715","29.99","6768902","8.680655438842052","84","Indie","Team Carnal Instinct","Team Carnal Instinct","1495320","https://store.steampowered.com/app/1495320",""
"Griftlands","1592107200000","false","597689","19.99","6750688","17.988483231112355","94","AA","Klei Entertainment","Klei Entertainment","601840","https://store.steampowered.com/app/601840","1622520000000"
"STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™","1345694400000","false","1525951","9.99","6735690","25.321715956108143","94","AA","LucasArts,Lucasfilm,Aspyr (Mac, Linux)","Obsidian Entertainment,Aspyr (Mac, Linux, & Windows Update)","208580","https://store.steampowered.com/app/208580",""
"Sunset Overdrive","1542344400000","false","602059","19.99","6730362","8.766026805795871","90","AAA","Xbox Game Studios","Insomniac Games,Blind Squirrel Games","847370","https://store.steampowered.com/app/847370",""
"Ultimate Epic Battle Simulator 2","1652328000000","false","476430","19.99","6729931","5.7859925388931","86","Indie","Brilliant Game Studios","Brilliant Game Studios","1468720","https://store.steampowered.com/app/1468720","1689912000000"
"SUPERHOT: MIND CONTROL DELETE","1512622800000","false","438779","24.99","6716233","5.298739313994721","85","Indie","SUPERHOT Team","SUPERHOT Team","690040","https://store.steampowered.com/app/690040","1594872000000"
"Blush Blush","1554350400000","false","287888","0","6715364.899559222","41.43013434389446","88","Indie","Sad Panda Studios","Sad Panda Studios","777130","https://store.steampowered.com/app/777130","1587528000000"
"Dark and Light","1500523200000","true","330963","17.99","6713045","39.75001130406412","53","AA","Snail Games USA","Snail Games USA","529180","https://store.steampowered.com/app/529180",""
"BPM: BULLETS PER MINUTE","1600142400000","false","504007","19.99","6708774","8.78987798563231","91","Indie","Awe Interactive","Awe Interactive","1286350","https://store.steampowered.com/app/1286350",""
"Pistol Whip","1573102800000","false","302945","29.99","6708032","3.746146101313596","94","Indie","Cloudhead Games Ltd.","Cloudhead Games Ltd.","1079800","https://store.steampowered.com/app/1079800",""
"Operation: Tango","1622520000000","false","551722","19.99","6704145","4.826854622352383","88","Indie","Clever Plays","Clever Plays","1335790","https://store.steampowered.com/app/1335790",""
"Halo Wars: Definitive Edition","1492660800000","false","603944","19.99","6699978","13.847903871330857","91","AAA","Xbox Game Studios","Ensemble Studios,Behaviour Interactive,343 Industries","459220","https://store.steampowered.com/app/459220",""
"Onmyoji","1517443200000","false","270186","0","6693071.277225381","90.8363226710054","82","Indie","NetEase Games","NetEase Games","551170","https://store.steampowered.com/app/551170","1524024000000"
"Age of Empires: Definitive Edition","1566187200000","false","799758","19.99","6682124","19.688130315978704","84","AAA","Xbox Game Studios","Forgotten Empires,Tantalus","1017900","https://store.steampowered.com/app/1017900",""
"Car For Sale Simulator 2023","1684382400000","true","510938","17.99","6673248","11.053326925275588","88","Indie","Red Axe Games","Red Axe Games","2248760","https://store.steampowered.com/app/2248760",""
"Wingspan","1600315200000","false","522572","19.99","6659665","13.850605939450617","94","Indie","Monster Couch,Stonemaier Games,indienova","Monster Couch","1054490","https://store.steampowered.com/app/1054490",""
"The Binding of Isaac","1317182400000","false","4445965","4.99","6653635","26.46848798559121","95","Indie","Edmund McMillen","Edmund McMillen,Florian Himsl","113200","https://store.steampowered.com/app/113200",""
"Zero Caliber VR","1541739600000","false","344262","24.99","6652394","5.253274333252731","78","Indie","XREAL Games","XREAL Games","877200","https://store.steampowered.com/app/877200","1690776000000"
"Storyteller","1679544000000","false","550782","14.99","6649626","2.732891164520928","86","AA","Annapurna Interactive","Daniel Benmergui","1624540","https://store.steampowered.com/app/1624540",""
"Ruined King: A League of Legends Story™","1637038800000","false","381906","29.99","6641770","16.505217217054657","89","Indie","Riot Forge","Airship Syndicate","1276790","https://store.steampowered.com/app/1276790",""
"Little Nightmares","1493265600000","false","1158904","19.99","6630388","4.421953163510029","95","AA","BANDAI NAMCO Entertainment","Tarsier Studios","424840","https://store.steampowered.com/app/424840",""
"HuniePop","1421643600000","false","717480","9.99","6593911","24.600643773897833","96","Indie","HuniePot","HuniePot","339800","https://store.steampowered.com/app/339800",""
"The Mortuary Assistant","1659412800000","false","352296","24.99","6583447","4.684983393448716","92","Indie","DreadXP","DarkStone Digital","1295920","https://store.steampowered.com/app/1295920",""
"RUNNING WITH RIFLES","1393632000000","false","1126712","14.99","6579645","23.405940466817185","88","Indie","Osumia Games","Osumia Games","270150","https://store.steampowered.com/app/270150","1427947200000"
"Chernobylite Complete Edition","1571198400000","false","434650","29.99","6560853","10.18169375541437","83","Indie","The Farm 51","The Farm 51","1016800","https://store.steampowered.com/app/1016800","1627444800000"
"Stonehearth","1433116800000","false","346204","19.99","6558104","40.929608050318194","76","Indie","(none)","Radiant Entertainment","253250","https://store.steampowered.com/app/253250","1532491200000"
"Hello Neighbor","1512709200000","false","555161","29.99","6557910","11.094725656505021","82","AA","tinyBuild","Dynamic Pixels","521890","https://store.steampowered.com/app/521890",""
"Spelunky","1375934400000","false","1181234","14.99","6552516","20.918061249377544","92","Indie","Mossmouth","Mossmouth","239350","https://store.steampowered.com/app/239350",""
"ONE PIECE ODYSSEY","1673499600000","false","138660","59.99","6543242","14.938028491544621","81","AA","Bandai Namco Entertainment Inc.","ILCA, Inc.","814000","https://store.steampowered.com/app/814000",""
"Romance of the Three Kingdoms XIII","1451606400000","false","197871","59.99","6541262","85.69900173442491","56","AA","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","363150","https://store.steampowered.com/app/363150","1487134800000"
"SIGNALIS","1666843200000","false","420765","19.99","6518879","7.834483163447776","97","AA","Humble Games,PLAYISM","rose-engine","1262350","https://store.steampowered.com/app/1262350",""
"Transformice","1422594000000","false","3063294","0","6512660.303279947","32.45904737166589","88","Indie","Atelier 801","Atelier 801","335240","https://store.steampowered.com/app/335240",""
"Gauntlet™ Slayer Edition","1411444800000","false","665687","19.99","6512489","8.25195874645368","81","AA","WB Games","Arrowhead Game Studios","258970","https://store.steampowered.com/app/258970",""
