"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"GTFO","1575867600000","1639026000000","false","1848242","39.99","47654492","22.520613761452317","85","Indie","10 Chambers","10 Chambers","493520","https://store.steampowered.com/app/493520"
"Granblue Fantasy: Relink","1706677200000","","false","1026837","59.99","47602441","56.62645278672517","90","AA","Cygames, Inc.","Cygames, Inc.","881020","https://store.steampowered.com/app/881020"
"Grand Theft Auto IV: The Complete Edition","1285891200000","1585022400000","false","7584232","19.99","47539187","28.999256769579123","81","AAA","Rockstar Games","Rockstar North,Rockstar Toronto","12210","https://store.steampowered.com/app/12210"
"Insurgency: Sandstorm","1541030400000","1544590800000","false","2882082","29.99","47272091","38.17969764412611","85","AA","Focus Entertainment","New World Interactive","581320","https://store.steampowered.com/app/581320"
"Remnant: From the Ashes","1566187200000","","false","1957993","39.99","47148566","24.096143500076327","85","AA","Arc Games","Gunfire Games","617290","https://store.steampowered.com/app/617290"
"Far Cry® 4","1414814400000","","false","2812624","29.99","47142505","29.001435929944783","84","AAA","Ubisoft","Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev","298110","https://store.steampowered.com/app/298110"
"鬼谷八荒 Tale of Immortal","1611723600000","1685073600000","false","3707992","19.99","46919612","58.93814712922383","53","Indie","鬼谷工作室,Lightning Games","鬼谷工作室","1468810","https://store.steampowered.com/app/1468810"
"Call of Duty®: Black Ops II","1352696400000","","false","1837953","59.99","46860869","7.9958328216473","86","AAA","Activision","Treyarch","202970","https://store.steampowered.com/app/202970"
"Detroit: Become Human","1592452800000","","false","2386530","39.99","46735480","18.382483787546605","95","AA","Quantic Dream","Quantic Dream","1222140","https://store.steampowered.com/app/1222140"
"Days Gone","1621224000000","","false","2019685","49.99","46561853","30.058112390335037","93","AAA","PlayStation Publishing LLC","Bend Studio","1259420","https://store.steampowered.com/app/1259420"
"BioShock Infinite","1364184000000","","false","5176517","29.99","45894366","17.22386866181761","94","AAA","2K","Irrational Games,Virtual Programming (Linux)","8870","https://store.steampowered.com/app/8870"
"Far Cry 3","1354597200000","","false","5181205","19.99","45839384","23.585891656505087","90","AAA","Ubisoft","Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai","220240","https://store.steampowered.com/app/220240"
"Space Engineers","1380585600000","1551330000000","false","4339310","19.99","45655497","88.41856910491805","89","AA","Keen Software House","Keen Software House","244850","https://store.steampowered.com/app/244850"
"Battlefield™ 1","1591848000000","","false","7399100","39.99","45557335","33.266915532006365","87","AAA","Electronic Arts","DICE","1238840","https://store.steampowered.com/app/1238840"
"Hades II","1714968000000","","true","1675701","29.99","45228845","21.648703536099294","95","AA","Supergiant Games","Supergiant Games","1145350","https://store.steampowered.com/app/1145350"
"Albion Online","1526443200000","","false","6580330","0","45214748.61401363","57.01409648332197","79","Indie","Sandbox Interactive GmbH","Sandbox Interactive GmbH","761890","https://store.steampowered.com/app/761890"
"RuneScape ®","1602648000000","","false","2090567","0","45130372.34927782","99.26208957988224","84","AA","Jagex Ltd","Jagex Ltd","1343400","https://store.steampowered.com/app/1343400"
"Assassin's Creed® Unity","1415682000000","","false","2907056","29.99","44991630","22.897684721933146","78","AAA","Ubisoft","Ubisoft","289650","https://store.steampowered.com/app/289650"
"Tomb Raider","1362373200000","","false","7420671","14.99","44928762","12.786814663696436","96","AA","Crystal Dynamics,Feral Interactive (Mac)","Crystal Dynamics,Eidos-Montréal,Feral Interactive (Mac),Nixxes","203160","https://store.steampowered.com/app/203160"
"HITMAN World of Assassination","1642654800000","","false","1653905","29.99","44582825","27.41674343798072","86","Indie","IO Interactive A/S","IO Interactive A/S","1659040","https://store.steampowered.com/app/1659040"
"Total War: ROME II - Emperor Edition","1378094400000","","false","2265982","59.99","44536232","123.75960676055105","87","AA","SEGA","CREATIVE ASSEMBLY","214950","https://store.steampowered.com/app/214950"
"Victoria 3","1666670400000","","false","1401068","49.99","44450947","65.5646836510639","67","AAA","Paradox Interactive","Paradox Development Studio","529340","https://store.steampowered.com/app/529340"
"TEKKEN 8","1706158800000","","false","715856","69.99","44087164","68.34375841636195","71","AAA","Bandai Namco Entertainment","Bandai Namco Studios Inc.","1778820","https://store.steampowered.com/app/1778820"
"Killing Floor 2","1427846400000","1479445200000","false","3707119","29.99","43921287","101.49877997567228","88","AA","Tripwire Interactive","Tripwire Interactive","232090","https://store.steampowered.com/app/232090"
"Starbound","1383264000000","1469160000000","false","4215081","14.99","43326090","60.40553936715351","91","AA","Chucklefish","Chucklefish","211820","https://store.steampowered.com/app/211820"
"Once Human","1720483200000","","false","6040946","0","42982147","47.80545536716971","72","Indie","Starry Studio","Starry Studio","2139460","https://store.steampowered.com/app/2139460"
"Warhammer: Vermintide 2","1520485200000","","false","3688959","29.99","42729616","39.49563384047397","85","AA","Fatshark","Fatshark","552500","https://store.steampowered.com/app/552500"
"FINAL FANTASY VII REMAKE INTERGRADE","1655438400000","","false","1106638","69.99","42671487","23.327054412470073","89","AA","Square Enix","Square Enix","1462040","https://store.steampowered.com/app/1462040"
"BattleBit Remastered","1686801600000","","true","3207237","14.99","42445797","31.197952022851755","89","Indie","SgtOkiDoki","SgtOkiDoki,Vilaskis,TheLiquidHorse","671860","https://store.steampowered.com/app/671860"
"Back 4 Blood","1634011200000","","false","1955180","59.99","42340876","40.26680873349356","66","AAA","Warner Bros. Games","Turtle Rock Studios","924970","https://store.steampowered.com/app/924970"
"Mass Effect™ Legendary Edition","1620964800000","","false","1717153","59.99","42126210","57.6418188162043","91","AAA","Electronic Arts","BioWare","1328670","https://store.steampowered.com/app/1328670"
"Diablo® IV","1697515200000","","false","1132034","49.99","41494766","62.86348653630065","62","AA","Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.","2344520","https://store.steampowered.com/app/2344520"
"Darkest Dungeon®","1422748800000","1453179600000","false","5348744","24.99","41262836","37.19257350142983","92","AA","Red Hook Studios","Red Hook Studios","262060","https://store.steampowered.com/app/262060"
"Resident Evil 7 Biohazard","1485147600000","","false","2524042","19.99","41157887","17.442163630618825","95","AAA","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","418370","https://store.steampowered.com/app/418370"
"Teardown","1603944000000","1650513600000","false","2169646","29.99","41040437","22.389353798556378","96","Indie","Tuxedo Labs,Saber Interactive","Tuxedo Labs","1167630","https://store.steampowered.com/app/1167630"
"Resident Evil Village","1620360000000","","false","1941262","39.99","40934254","21.463117291736893","96","AAA","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","1196590","https://store.steampowered.com/app/1196590"
"Barotrauma","1559707200000","1678680000000","false","2837182","34.99","40873411","29.90141422508666","94","AA","Daedalic Entertainment","FakeFish,Undertow Games","602960","https://store.steampowered.com/app/602960"
"FINAL FANTASY XIV Online","1392699600000","","false","2294419","19.99","40632610","552.3609912314561","88","AA","Square Enix","Square Enix","39210","https://store.steampowered.com/app/39210"
"THE FINALS","1701925200000","","false","8718398","0","40523794","46.20042511951092","75","Indie","Embark Studios","Embark Studios","2073850","https://store.steampowered.com/app/2073850"
"EVE Online","1285891200000","1292389200000","false","4162958","0","40444553.889081515","96.28743800580823","74","Indie","CCP","CCP","8500","https://store.steampowered.com/app/8500"
"The Long Dark","1409529600000","1501560000000","false","3852603","19.99","40120865","28.27250524049972","91","Indie","Hinterland Studio Inc.","Hinterland Studio Inc.","305620","https://store.steampowered.com/app/305620"
"Dead Space","1674795600000","","false","1013772","59.99","39999936","15.973537248309707","91","AAA","Electronic Arts","Motive","1693980","https://store.steampowered.com/app/1693980"
"Jurassic World Evolution 2","1636434000000","","false","1556567","59.99","39859613","26.78719217513581","88","AA","Frontier Developments","Frontier Developments","1244460","https://store.steampowered.com/app/1244460"
"FINAL FANTASY XV WINDOWS EDITION","1520312400000","","false","1724753","34.99","39744552","37.44449100996492","83","AA","Square Enix","Square Enix","637650","https://store.steampowered.com/app/637650"
"Mafia III: Definitive Edition","1475280000000","1589860800000","false","1318179","29.99","39402195","25.70743195977654","57","AAA","2K,Aspyr (Mac)","Hangar 13,Aspyr (Mac)","360430","https://store.steampowered.com/app/360430"
"Gunfire Reborn","1588651200000","1637125200000","false","3507619","19.99","39385390","44.72034852034042","94","Indie","Duoyi Games","Duoyi Games","1217060","https://store.steampowered.com/app/1217060"
"Lies of P","1695009600000","","false","821846","59.99","39037904","21.09525377454579","93","AA","NEOWIZ","NEOWIZ","1627720","https://store.steampowered.com/app/1627720"
"ULTRAKILL","1580274000000","","true","2065387","24.99","39032167","19.81616717549449","98","AA","New Blood Interactive","Arsi ""Hakita"" Patala","1229490","https://store.steampowered.com/app/1229490"
"Bloons TD 6","1545022800000","","false","7813158","13.99","38993089","56.96006614309278","97","Indie","Ninja Kiwi","Ninja Kiwi","960090","https://store.steampowered.com/app/960090"
"Farming Simulator 19","1542603600000","","false","2019267","17.99","38639983","170.23733312341668","94","AA","Giants Software","Giants Software","787860","https://store.steampowered.com/app/787860"
