"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl","earlyAccessExitDate"
"A Tofu Tail","1576126800000","false","60","14.99","809","1.4812008347065797","100","Hobbyist","alchemedium","alchemedium","454240","https://store.steampowered.com/app/454240",""
"Super Monkey","1577836800000","false","45","19.99","809","3.6981355677950605","100","Hobbyist","glp","glp","1142460","https://store.steampowered.com/app/1142460","1569902400000"
"Creation and Conquest：The Future War","1560139200000","true","90","9.99","809","0.9412487637792735","100","Hobbyist","Noelone","Noelone","1023760","https://store.steampowered.com/app/1023760",""
"Ruine","1557979200000","true","264","4.99","809","3.75866175352771","94","Hobbyist","NihilNode","NihilNode","1071660","https://store.steampowered.com/app/1071660",""
"ASTRONEST VR","1551330000000","false","90","9.99","809","0.714904438249941","20","Hobbyist","AN GAMES Co.,Ltd","AN GAMES Co.,Ltd","987660","https://store.steampowered.com/app/987660",""
"TAL: Arctic 3","1537156800000","false","1680","0.99","809","0.9568974212345197","81","Indie","Snkl Studio","Snkl Studio","932120","https://store.steampowered.com/app/932120",""
"Mercenary Leto","1535428800000","true","90","14.99","809","1.0740658485827759","100","Hobbyist","dragonGlitch Games LLC","dragonGlitch Games LLC","893710","https://store.steampowered.com/app/893710",""
"Into Oblivion","1532923200000","false","486","4.99","809","5.2330718662675535","88","Indie","CoaguCo Industries","Tenth&Hess Games","618990","https://store.steampowered.com/app/618990",""
"SpellShokked!","1536451200000","true","45","19.99","809","7.64905711143312","100","Hobbyist","cf/x software AG","cf/x software AG","796500","https://store.steampowered.com/app/796500",""
"Turn-Based Champion","1527912000000","false","225","3.99","809","1.2062525464627045","67","Hobbyist","Searchlight Games","Searchlight Games","847230","https://store.steampowered.com/app/847230",""
"Darkest Mana : Master of the Table","1527739200000","false","90","9.99","809","0.42611111111111105","33","Indie","IKINAGAMES","IKINAGAMES","851040","https://store.steampowered.com/app/851040",""
"Birdcakes","1527566400000","false","190","4.99","809","0.7404037200496549","100","Indie","Green Lava Studios","Green Lava Studios","699230","https://store.steampowered.com/app/699230",""
"Fury Fighter VR","1527220800000","true","90","9.99","809","0.14083333333333337","0","Hobbyist","CentVire","CentVire","848150","https://store.steampowered.com/app/848150",""
"Viking Village","1524542400000","false","90","4.99","809","1.1711500063075844","50","Hobbyist","Limitless Fun, LLC","Limitless Fun, LLC","745750","https://store.steampowered.com/app/745750",""
"Dance Studio VR","1510030800000","false","30","29.99","809","0","0","Hobbyist","Air Viki, LLC","Air Viki, LLC","725320","https://store.steampowered.com/app/725320",""
"Melody","1507176000000","false","90","9.99","809","0.36347225784915455","100","Hobbyist","Verge of Brilliance LLC","Verge of Brilliance LLC,Evie Powell,Michael Fewkes,Nickolas Forsten,David Whitlock,Mike Chokran,Andrew Luck","471200","https://store.steampowered.com/app/471200",""
"Bleeding Kansas","1500782400000","true","90","9.99","809","0","0","Hobbyist","Histogram Games","Histogram Games","640600","https://store.steampowered.com/app/640600",""
"Endless Burst","1469419200000","false","90","4.99","809","1.6618593684385634","20","Hobbyist","Neon Squid Games","Neon Squid Games","442760","https://store.steampowered.com/app/442760",""
"Black Lilies - Eternal Summer","1607922000000","false","90","9.99","809","4.126486314969499","50","Hobbyist","Lab Rabbit Games ltd","Lab Rabbit Games ltd","1472010","https://store.steampowered.com/app/1472010",""
"Master vs Slave","1593057600000","false","60","14.99","809","4.24889199858178","100","Indie","Noxurtica","Noxurtica","1340320","https://store.steampowered.com/app/1340320",""
"Empyreal Dawn","1695355200000","true","36","29.99","809","1.5143764279772014","89","Hobbyist","blissful beryl","blissful beryl","1870220","https://store.steampowered.com/app/1870220",""
"Viridian Sage","1707800400000","false","36","16.99","809","6.082515022933588","50","Hobbyist","Elder Tree Games","Elder Tree Games","2495000","https://store.steampowered.com/app/2495000",""
"仙途","1717128000000","false","30","29.99","809","4.42455727514765","100","Hobbyist","Deep Cave","Deep Cave","2918710","https://store.steampowered.com/app/2918710",""
"Whisper Forest","1721260800000","false","199","4.99","809","1.3716258151885115","77","Hobbyist","Actor","Actor","3010250","https://store.steampowered.com/app/3010250",""
"Vacuum Story","1656043200000","false","525","0.99","808","0.43367254066801497","65","Hobbyist","Simone Filippini","Simone Filippini","1950920","https://store.steampowered.com/app/1950920",""
"Super Head Ball","1639717200000","false","150","5.99","808","1.0588779702722324","100","Hobbyist","Seth van Heijster","Seth van Heijster","1579000","https://store.steampowered.com/app/1579000",""
"Dear Agony Aunt","1633060800000","false","180","4.99","808","0.5835990806036055","100","Hobbyist","Faye Strawberry","Faye Strawberry","1750640","https://store.steampowered.com/app/1750640",""
"50 Waves Hero","1626062400000","false","150","5.99","808","1.3537852762246672","67","Hobbyist","Cola Lover Games","Cola Lover Games","1673920","https://store.steampowered.com/app/1673920","1626408000000"
"Finders Reapers","1587096000000","false","180","14.99","808","1.9277184397933034","100","Hobbyist","MOSQUITO COCKTAIL LTD","MOSQUITO COCKTAIL LTD","1175250","https://store.steampowered.com/app/1175250","1618372800000"
"Home Designer - Home Sweet Home","1613019600000","false","231","4.99","808","52.11523461772374","73","Indie","HH-Games","Mad Data","1531610","https://store.steampowered.com/app/1531610",""
"Shutter 2","1603425600000","false","180","4.99","808","2.5693373847277075","69","Indie","Cosmic Logic","Cosmic Logic","1336620","https://store.steampowered.com/app/1336620",""
"HARTS ISLAND","1591156800000","false","1376","0.99","808","0.7878417180721182","66","Hobbyist","ben lunato","ben lunato","1322270","https://store.steampowered.com/app/1322270",""
"Here Come the Mystery Teens!","1579064400000","false","180","4.99","808","1.1896311642832489","100","Hobbyist","Alex Mankin","Alex Mankin","949650","https://store.steampowered.com/app/949650",""
"Spider Solitaire F","1567569600000","false","425","4.99","808","8.405519272031505","41","Indie","Flyhigh Works","ESQUADRA,inc.","1107720","https://store.steampowered.com/app/1107720",""
"Cube Mission","1547701200000","false","722","1.99","808","0.8095198713123717","81","Hobbyist","NanningsGames","NanningsGames","1008740","https://store.steampowered.com/app/1008740",""
"The Great Race","1526529600000","false","150","9.99","808","1.741803346873556","100","Hobbyist","Triumph LLC","Triumph LLC","838440","https://store.steampowered.com/app/838440",""
"Aw Nutz","1506571200000","false","180","4.99","808","0.4514162367955758","43","Hobbyist","Renaissance","Renaissance","707000","https://store.steampowered.com/app/707000",""
"Expanse","1503633600000","false","125","3.99","808","0.5535222745785112","67","Hobbyist","Chjonn Studios","Chjonn Studios","667670","https://store.steampowered.com/app/667670",""
"Chimeras: The Signs of Prophecy Collector's Edition","1533081600000","false","147","9.99","808","2.9772907329033966","86","Indie","Big Fish Games","Elephant Games","678410","https://store.steampowered.com/app/678410","1500609600000"
"Challenge of the Five Realms: Spellbound in the World of Nhagardia","1427860800000","false","295","6.99","808","3.71309117365218","64","Indie","Atari,Nightdive Studios","MicroProse Software, Inc","347240","https://store.steampowered.com/app/347240",""
"Mythology Waifus Mahjong","1678424400000","false","208","4.99","808","1.3308542494826137","81","Indie","Gamuzumi","Sweet Banana Games","2277840","https://store.steampowered.com/app/2277840",""
"Obedient Women","1667188800000","false","3670","0","808","1.8006992474975763","71","Indie","ARTLINK","INTERHEART","2139630","https://store.steampowered.com/app/2139630",""
"Sexy Heroine! Part 2","1588219200000","false","180","7.99","808","5.876400880560342","50","Hobbyist","Sexy Dev!","Sexy Dev!","1031260","https://store.steampowered.com/app/1031260",""
"Starwisp Hyperdrive","1712116800000","true","61","14.99","808","6.230161266943098","80","Indie","Ghost Cat Games","Ghost Cat Games","1844080","https://store.steampowered.com/app/1844080",""
"WACKY WONDERLAND WOLLOP: A 3D PLATFORMER FOR THE AGES GAME OF THE YEAR GREATEST GAME OF ALL TIME : THE GAME","1718683200000","false","354","2.99","808","1.9206414887464798","97","Hobbyist","GAME GAME GAME GAME GAME GAME GAME GAME GAME GAME GAME GAME GAME GAME GAME LLC","Crazy Mike","2468680","https://store.steampowered.com/app/2468680",""
"Deidthraw","1703048400000","true","171","8.99","808","1.4445056015551418","76","Hobbyist","Matthew Glen","Matthew Glen","2475220","https://store.steampowered.com/app/2475220",""
"STARS ERA: ABYSS FRONTIER","1706677200000","true","172","6.99","808","5.688818518782689","89","Indie","AnimicGame","AnimicGame","1833540","https://store.steampowered.com/app/1833540",""
"Fix My Hand Doc","1671667200000","false","225","0.99","807","0.949141153555542","82","Hobbyist","Atomic Fabrik,Cristian Manolachi","Dora Games","2148740","https://store.steampowered.com/app/2148740","1666756800000"
"Frick, Inc.","1608267600000","false","225","3.99","807","1.1484383964317328","76","Hobbyist","Kenney","Kenney","1491720","https://store.steampowered.com/app/1491720",""
"Hero Legends","1566878400000","false","276","4.99","807","30.556471033675614","50","Hobbyist","乐吧娱乐","乐吧游戏","1112940","https://store.steampowered.com/app/1112940",""
