"name","firstReleaseDate","earlyAccessExitDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Heavyweight Transport Simulator 3","1572566400000","1562126400000","false","84","3.99","97","1.1873020455133916","60","Indie","United Independent Entertainment","United Independent Entertainment","964420","https://store.steampowered.com/app/964420"
"Ultimate Shotgun Championship","1557374400000","","false","15","3.99","97","0","0","Hobbyist","AlluGarage","AlluGarage","1069500","https://store.steampowered.com/app/1069500"
"Stellar Sphere","1553832000000","","false","15","4.99","97","0","100","Hobbyist","Titan Deep Space Company","Titan Deep Space Company","981540","https://store.steampowered.com/app/981540"
"Sirius: Age of the Free Agents","1549947600000","","false","15","1.99","97","3.905412121619446","100","Hobbyist","DualityBeyond Studios","World of Dex","601520","https://store.steampowered.com/app/601520"
"Outliver: Redemption","1548738000000","","false","15","2.99","97","0.2979166666666667","0","Hobbyist","GBROSSOFT","GBROSSOFT","1011370","https://store.steampowered.com/app/1011370"
"A Second Chance","1546837200000","","true","18","7.99","97","0.46571992147767527","25","Hobbyist","Gamebringer","Gamebringer","908960","https://store.steampowered.com/app/908960"
"PsyOps Solutions","1577836800000","1546578000000","false","18","0.99","97","0","50","Hobbyist","Jordan Rott","Jordan Rott","1004790","https://store.steampowered.com/app/1004790"
"Falling Blocks","1543622400000","1531454400000","false","150","0.99","97","1.43207516469043","25","Indie","Softwaves Dist.","Softwaves Mini","891470","https://store.steampowered.com/app/891470"
"Rise High","1541030400000","1513486800000","false","225","1.99","97","2.3731246253693703","70","Hobbyist","eiloware","eiloware","545750","https://store.steampowered.com/app/545750"
"BlockDude","1502164800000","","false","126","0.99","97","0.48647104924452356","60","Hobbyist","The Hazardous Dude","The Hazardous Dude","669490","https://store.steampowered.com/app/669490"
"高考夺魁记","1675746000000","","false","69","1.99","97","1.564285952634404","83","Hobbyist","童话","童话","2286800","https://store.steampowered.com/app/2286800"
"Lich Clicker","1676350800000","","false","138","0.99","97","0.7208217744222133","83","Hobbyist","KnotHorn Studio","KnotHorn Studio,Raphael Wieser","2098040","https://store.steampowered.com/app/2098040"
"Tap Sword - Black Smith","1678078800000","","false","359","1","97","0.7593565180195728","60","Hobbyist","BOMGAMES","BOMGAMES","2317520","https://store.steampowered.com/app/2317520"
"Sheepdogs","1680667200000","","false","22","1.99","97","0.7015396655631623","67","Hobbyist","Manakin Games","Manakin Games","2365030","https://store.steampowered.com/app/2365030"
"Kaiten Sushi VR","1681358400000","","false","15","9.99","97","0","0","Hobbyist","monacrea","monacrea","2369730","https://store.steampowered.com/app/2369730"
"Dark Rift","1686196800000","","false","18","9.99","97","4.427632237350229","20","Indie","Piko Interactive LLC,Bleem.net","Kronos Digital Entertainment","2308120","https://store.steampowered.com/app/2308120"
"Stale Nation","1687320000000","","false","28","2.99","97","0.6210629153588895","50","Hobbyist","Black Gate Studios","Black Gate Studios","2282190","https://store.steampowered.com/app/2282190"
"Danger Drop","1687320000000","","false","20","4.99","97","2.2840567229152793","100","Hobbyist","David Ouellette","David Ouellette","2453600","https://store.steampowered.com/app/2453600"
"Nomad Station","1689393600000","","false","15","4.99","97","0","100","Hobbyist","Derek Moritz","Derek Moritz","2386790","https://store.steampowered.com/app/2386790"
"1v1 Deathmatch","1690948800000","","false","29","4.99","97","0.14950000000000005","80","Hobbyist","Dualbooted","Matthew Lalande","2484960","https://store.steampowered.com/app/2484960"
"Corrupt","1691553600000","","false","15","9.99","97","1.3964796309543386","83","Hobbyist","Gabry Corti","Gabry Corti","2524340","https://store.steampowered.com/app/2524340"
"AI Dreams of Roses of Desert","1692072000000","","false","15","9.99","97","4.287015671412851","100","Hobbyist","MagicHouse","MagicHouse","2365040","https://store.steampowered.com/app/2365040"
"Hentai Puzzles: The Origin","1678338000000","","false","122","0.99","97","0.226125610348133","90","Hobbyist","Mach Point Gaming","Mach Point Gaming","2320990","https://store.steampowered.com/app/2320990"
"Demonic Pack","1672981200000","","false","109","0.99","97","0.5546140283786937","83","Indie","Cyber Keks","Cyber Keks","2226470","https://store.steampowered.com/app/2226470"
"ERO Shooter","1606453200000","1622001600000","false","18","5.99","97","0.4495833333333333","50","Hobbyist","irisGameDev","irisGameDev","1445090","https://store.steampowered.com/app/1445090"
"Infantry Assault: War 3D FPS","1693565732000","","false","68","1.99","97","0.34431912848438184","33","Hobbyist","CHETRUSCA SOFTWORKS SRL","CHETRUSCA SOFTWORKS SRL","2534220","https://store.steampowered.com/app/2534220"
"Who Did It?","1709528400000","","false","15","7.99","97","2.6533564110219254","100","Hobbyist","BeldrProductions Games","BeldrProductions","2430280","https://store.steampowered.com/app/2430280"
"Bellhop","1715745600000","","false","15","6.99","97","0","100","Hobbyist","Cataclysm Entertainment","Cataclysm Entertainment","2245300","https://store.steampowered.com/app/2245300"
"Homebound Haerold","1694404800000","","false","30","4","97","1.6176823169755155","100","Hobbyist","Smiles","Smiles","2487940","https://store.steampowered.com/app/2487940"
"Eternal Vigil: Crystal Defender","1714968000000","1716955200000","false","15","4.99","97","1.1582214334457965","100","Hobbyist","Ember Eye Studio","Ember Eye Studio","2543750","https://store.steampowered.com/app/2543750"
"Sugar Mess - Let's Play Jolly Battle","1727222400000","","false","8","14.99","97","0.39967249508445857","80","Hobbyist","JollyCo","JollyCo","2480010","https://store.steampowered.com/app/2480010"
"The Rusty Longsword","1702011600000","","false","15","7.99","97","0.9642993743733406","100","Hobbyist","Sapling Studios","Sapling Studios","2393410","https://store.steampowered.com/app/2393410"
"WTC : Love's Labour's Lost","1696996800000","","true","12","8.99","97","4.596973995423682","100","Hobbyist","Triority Interactive Novels","Triority Interactive Novels","1981690","https://store.steampowered.com/app/1981690"
"Object Ward.","1720742400000","","false","6","14.99","97","28.82075705929638","100","Hobbyist","thugzilladev","thugzilladev","1730500","https://store.steampowered.com/app/1730500"
"Malkin","1700197200000","","false","15","8.99","97","8.318546462152849","100","Hobbyist","Zach Holbrook","Zach Holbrook","2481230","https://store.steampowered.com/app/2481230"
"Stand Your Ground","1696910400000","","true","15","7.99","97","0","0","Hobbyist","Noahstar365","Noahstar365","2589410","https://store.steampowered.com/app/2589410"
"Way to the light","1696392000000","","false","129","0.99","97","0.3762051529362261","29","Hobbyist","STuNT","STuNT","2613070","https://store.steampowered.com/app/2613070"
"Conqueror Of Time","1716177600000","","false","15","9.99","97","6.3720550093182995","100","Hobbyist","PIE Studios","Ken Loudon","2610030","https://store.steampowered.com/app/2610030"
"PROJECT : GENESIS","1697428800000","","false","15","9.99","97","1.087951272222462","100","Hobbyist","NBOXGAMES.INC","RAMIC STUDIO","2575790","https://store.steampowered.com/app/2575790"
"G-MODEアーカイブス50 ミッドナイトホラースクール","1698206400000","","false","15","7.99","97","1.1764932006944961","100","Indie","G-MODE","G-MODE","2627680","https://store.steampowered.com/app/2627680"
"My Tsundere Femboy","1701406800000","","false","69","1.99","97","44.51921858766671","88","Hobbyist","FuwaFuwa Club","FuwaFuwa Club","2681310","https://store.steampowered.com/app/2681310"
"Paper Work","1703221200000","","true","36","9.99","97","1.4606021367790656","50","Hobbyist","Realitygaming","Dreamworld","2664650","https://store.steampowered.com/app/2664650"
"Mystery Box VR: Hidden Secrets","1703826000000","","false","15","8.99","97","0","0","Hobbyist","XSGames","XSGames","2738770","https://store.steampowered.com/app/2738770"
"Jump, Froggy! Jump!","1705294800000","","false","15","7.99","97","1.0571356856786707","100","Hobbyist","KasD_Live","KasD_Live","2688000","https://store.steampowered.com/app/2688000"
"Block Hunter","1707109200000","","false","15","9.99","97","0","0","Hobbyist","Feiyu Technology HongKong Limited","Mongoose Studio","2730240","https://store.steampowered.com/app/2730240"
