"name","firstReleaseDate","earlyAccess","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId","steamUrl"
"Chior","1727308800000","false","0","3.99","0","1.019582604194727","100","Hobbyist","Steel Rain Studios","Darius","3175040","https://store.steampowered.com/app/3175040"
"Gridlink","1726099200000","false","184","0","0","2.1152457570970777","89","Hobbyist","Kouzii","Kouzii","3176800","https://store.steampowered.com/app/3176800"
"Jellitito","1727222400000","false","29","0","0","4.629793428045129","71","Hobbyist","GatoInaryGames","GatoInaryGames","3173050","https://store.steampowered.com/app/3173050"
"Master RNG","1726099200000","false","109","0","0","0.2694791666666667","63","Hobbyist","Nine Volt Design","Nine Volt Design","3135150","https://store.steampowered.com/app/3135150"
"Parkour Chief: Chapter Secret Agent","1726358400000","false","243","0","0","0.18263716163253488","94","Hobbyist","Soltanian Games","Mustafa Soltanian Fard Jahromi","3191880","https://store.steampowered.com/app/3191880"
"Submerged Mystery: Takodachi","1726099200000","false","492","0","0","0.9197116482663316","100","Hobbyist","Velveteen","Sakuraraka","3185140","https://store.steampowered.com/app/3185140"
"花样人生模拟器","1726099200000","true","459","0","0","0.9918043001949979","58","Hobbyist","浔耀","浔耀","3171810","https://store.steampowered.com/app/3171810"
"Bakery Shop Match Up","1726358400000","false","1","0.99","0","0","0","Indie","Boogygames Studios","Boogygames Studios","3182360","https://store.steampowered.com/app/3182360"
"Bible Verse Challenge","1726185600000","false","1","0.99","0","0","0","Hobbyist","Wolf and Cross Games","Wolf and Cross Games","3173120","https://store.steampowered.com/app/3173120"
"Block breaker","1727308800000","false","0","0","0","1.1340391722481378","100","Hobbyist","junao","junao","3194750","https://store.steampowered.com/app/3194750"
"Meshwork","1727308800000","false","0","0.99","0","0","0","Hobbyist","人生如梦","人生如梦","3196960","https://store.steampowered.com/app/3196960"
"Multiplayer Medieval","1726099200000","false","1","0.99","0","0","0","Indie","Archor Games","Archor Wright","3196060","https://store.steampowered.com/app/3196060"
"PWN!","1726790400000","false","169","0","0","0","67","Hobbyist","PWNERS","Jeon Yujeong,Kim Taeyoon,Jo Gaeun,Lee Jeonghun","3000000","https://store.steampowered.com/app/3000000"
"SCP: CB Multiplayer Dedicated Server","1635120000000","false","15","0","0","0","100","Hobbyist","","","1801280","https://store.steampowered.com/app/1801280"
"War Lands","1726617600000","false","43","0","0","2.621913681003822","100","Hobbyist","Phantom's Wife","Phantom","3172640","https://store.steampowered.com/app/3172640"
"Hazard","1727308800000","false","0","0.99","0","0","0","Hobbyist","人生如梦","人生如梦","3196970","https://store.steampowered.com/app/3196970"
"RealmScape","1726272000000","false","205","0","0","0.8772300981181756","80","Hobbyist","MIRACAN","Andre Carim","3154450","https://store.steampowered.com/app/3154450"
"Shoot 'n' Smash","1727308800000","false","0","0","0","1.1340391722481378","100","Hobbyist","wenzong","wenzong","3188700","https://store.steampowered.com/app/3188700"
"The Pauser","1726704000000","false","190","0","0","0.4103096699564273","92","Hobbyist","YaYa","YaYa","3102440","https://store.steampowered.com/app/3102440"
"The Home Into The Woods","1727222400000","false","34","0","0","0","100","Hobbyist","Candle Games","James Curtis","3070580","https://store.steampowered.com/app/3070580"
"Tangram Collection","1727308800000","false","0","0","0","1.1340391722481378","100","Indie","Error 300,Gamersky Games","Error 300","3182240","https://store.steampowered.com/app/3182240"
"A Shade Darker Than Gray","1726704000000","false","54","0","0","1.218515218622617","100","Hobbyist","Ronthelawn","Ronthelawn","3189150","https://store.steampowered.com/app/3189150"
"Deathly Dominion","1726531200000","false","1","0.99","0","0","0","Hobbyist","xHARDHeMPuS","xHARDHeMPuS","3200580","https://store.steampowered.com/app/3200580"
"Dungeon CEO","1726704000000","false","1994","0","0","0.6913073128882216","90","Hobbyist","Skylark Studio","Skylark Studio","3189680","https://store.steampowered.com/app/3189680"
"Frontier: Battle Royale","1726790400000","false","145","0","0","0.4476698399472622","80","Hobbyist","Deyn V","Deyn V","3166520","https://store.steampowered.com/app/3166520"
"Penelope Syndrome Preview","1727308800000","false","0","0","0","1.0819948864404538","100","Hobbyist","Dd Games","Dd Games","3176580","https://store.steampowered.com/app/3176580"
"Puzzle Checkers: The Rooks","1726531200000","false","1","0.99","0","0","0","Hobbyist","SplashPunk Studios","SplashPunk Studios","3200200","https://store.steampowered.com/app/3200200"
"三国幸存者","1726531200000","false","1","0.99","0","0","0","Hobbyist","胖兵工作室","胖兵工作室","3193650","https://store.steampowered.com/app/3193650"
"Beast Brawl","1726790400000","false","51","0","0","0.3768759443888696","100","Hobbyist","RATH","RATH","3201630","https://store.steampowered.com/app/3201630"
"click frenzy","1726531200000","false","1","0.99","0","0","0","Hobbyist","bulbafangames","bulbafan","3154270","https://store.steampowered.com/app/3154270"
"Emiru Game","1726617600000","false","1","0.99","0","0","0","Hobbyist","Marcus Owen Bell","Marcus Owen Bell","3172460","https://store.steampowered.com/app/3172460"
