Label,releaseYear,sommeCopiesSold
Action,1997,2125548
Action,1998,4732278
Action,1999,724320
Action,2000,7286560
Action,2001,872961
Action,2002,341560
Action,2003,244505
Action,2004,20838504
Action,2005,3945184
Action,2006,4168727
Action,2007,29786451
Action,2008,26309020
Action,2009,33222672
Action,2010,58625539
Action,2011,112927613
Action,2012,84364282
Action,2013,87089630
Action,2014,145611385
Action,2015,126710089
Action,2016,188017018
Action,2017,274371995
Action,2018,165068276
Action,2019,143231982
Action,2020,187213795
Action,2021,172780442
Action,2022,145656639
Action,2023,166282649
Action,2024,91682873
Adventure,2002,341560
Adventure,2007,1113699
Adventure,2008,9777898
Adventure,2009,16904550
Adventure,2010,21455308
Adventure,2011,75767825
Adventure,2012,45655074
Adventure,2013,66844708
Adventure,2014,71301710
Adventure,2015,97194803
Adventure,2016,135134312
Adventure,2017,171516724
Adventure,2018,137265843
Adventure,2019,87738846
Adventure,2020,135100370
Adventure,2021,124636378
Adventure,2022,105859931
Adventure,2023,130136184
Adventure,2024,129250321
Casual,2003,16807
Casual,2006,28630550
Casual,2007,422091
Casual,2008,5424726
Casual,2009,1480281
Casual,2010,5081429
Casual,2011,5626242
Casual,2012,12210373
Casual,2013,9636435
Casual,2014,40494788
Casual,2015,59842071
Casual,2016,78267906
Casual,2017,109407964
Casual,2018,64443526
Casual,2019,62525000
Casual,2020,91066411
Casual,2021,114262810
Casual,2022,74390317
Casual,2023,90323115
Casual,2024,82687068
"Free to Play",2007,284251
"Free to Play",2008,1107235
"Free to Play",2009,625527
"Free to Play",2010,750043
"Free to Play",2011,13113279
"Free to Play",2012,28164945
"Free to Play",2013,14217296
"Free to Play",2014,46708271
"Free to Play",2015,58934653
"Free to Play",2016,58048578
"Free to Play",2017,214412854
"Free to Play",2018,90008643
"Free to Play",2019,74848805
"Free to Play",2020,96823133
"Free to Play",2021,138553681
"Free to Play",2022,77572586
"Free to Play",2023,82834748
"Free to Play",2024,75538691
Racing,1997,12147
Racing,2006,1179897
Racing,2007,168720
Racing,2008,4748218
Racing,2009,539452
Racing,2010,2084666
Racing,2011,1020832
Racing,2012,541363
Racing,2013,2832815
Racing,2014,12488047
Racing,2015,3979217
Racing,2016,8968712
Racing,2017,14226967
Racing,2018,4965486
Racing,2019,8680193
Racing,2020,13910128
Racing,2021,24649770
Racing,2022,7004469
Racing,2023,5533937
Racing,2024,3255952
RPG,2001,752280
RPG,2003,3811
RPG,2005,703465
RPG,2006,1333259
RPG,2007,5876474
RPG,2008,12566145
RPG,2009,13140254
RPG,2010,20219227
RPG,2011,52162728
RPG,2012,52063581
RPG,2013,50611584
RPG,2014,47348225
RPG,2015,68803838
RPG,2016,65075926
RPG,2017,72302161
RPG,2018,59358029
RPG,2019,48605731
RPG,2020,74855241
RPG,2021,64931456
RPG,2022,76537144
RPG,2023,71541426
RPG,2024,62387759
Simulation,2006,27714812
Simulation,2007,239852
Simulation,2008,5292011
Simulation,2009,2124930
Simulation,2010,4801189
Simulation,2011,6713539
Simulation,2012,31696652
Simulation,2013,35854695
Simulation,2014,47502956
Simulation,2015,63821626
Simulation,2016,103471771
Simulation,2017,121425538
Simulation,2018,68421785
Simulation,2019,59989480
Simulation,2020,82941120
Simulation,2021,91979355
Simulation,2022,63125863
Simulation,2023,95396532
Simulation,2024,103362567
Sports,2008,38863
Sports,2009,162810
Sports,2010,128173
Sports,2011,339254
Sports,2012,223809
Sports,2013,2438218
Sports,2014,13671277
Sports,2015,4832715
Sports,2016,8421435
Sports,2017,38047311
Sports,2018,8905812
Sports,2019,9613819
Sports,2020,18573447
Sports,2021,20681598
Sports,2022,14422888
Sports,2023,16447668
Sports,2024,4473146
Strategy,2001,19584
Strategy,2003,3811
Strategy,2005,59662
Strategy,2006,1997675
Strategy,2007,4656742
Strategy,2008,8121010
Strategy,2009,14914185
Strategy,2010,18552839
Strategy,2011,14113287
Strategy,2012,24328961
Strategy,2013,28418871
Strategy,2014,48943692
Strategy,2015,69396405
Strategy,2016,83743346
Strategy,2017,63324517
Strategy,2018,75837805
Strategy,2019,66362204
Strategy,2020,69851328
Strategy,2021,56421038
Strategy,2022,47839936
Strategy,2023,57675666
Strategy,2024,85992457
