Label,releaseYear,releaseMonth,sommeCopiesSold
Action,1997,Jun,12147
Action,1997,Nov,2113401
Action,1997,NULL,2125548
Action,1998,Nov,4732278
Action,1998,NULL,4732278
Action,1999,Nov,724320
Action,1999,NULL,724320
Action,2000,Nov,7286560
Action,2000,NULL,7286560
Action,2001,Jun,140265
Action,2001,Mar,732696
Action,2001,NULL,872961
Action,2002,Aug,341560
Action,2002,NULL,341560
Action,2003,May,227698
Action,2003,Nov,16807
Action,2003,NULL,244505
Action,2004,Nov,20838504
Action,2004,NULL,20838504
Action,2005,Nov,248691
Action,2005,Oct,3696493
Action,2005,NULL,3945184
Action,2006,Jul,109779
Action,2006,Jun,953220
Action,2006,Mar,100600
Action,2006,May,386313
Action,2006,Nov,527297
Action,2006,Oct,1303338
Action,2006,Sep,788180
Action,2006,NULL,4168727
Action,2007,Aug,7242564
Action,2007,Dec,367746
Action,2007,Feb,155672
Action,2007,Jan,86890
Action,2007,Jul,313738
Action,2007,Jun,559087
Action,2007,Mar,5901404
Action,2007,May,33504
Action,2007,Nov,1875622
Action,2007,Oct,13206058
Action,2007,Sep,44166
Action,2007,NULL,29786451
Action,2008,Apr,3350985
Action,2008,Aug,34144
Action,2008,Dec,5600095
Action,2008,Feb,160592
Action,2008,Jan,448092
Action,2008,Jul,435461
Action,2008,Jun,89609
Action,2008,Mar,217680
Action,2008,May,186486
Action,2008,Nov,4826747
Action,2008,Oct,4924107
Action,2008,Sep,6035022
Action,2008,NULL,26309020
Action,2009,Apr,412876
Action,2009,Aug,805710
Action,2009,Dec,1979670
Action,2009,Feb,516684
Action,2009,Jan,6007017
Action,2009,Jul,7399919
Action,2009,Jun,1919133
Action,2009,Mar,830029
Action,2009,May,4019630
Action,2009,Nov,3312969
Action,2009,Oct,441809
Action,2009,Sep,5577226
Action,2009,NULL,33222672
Action,2010,Apr,3765397
Action,2010,Aug,545219
Action,2010,Dec,109463
Action,2010,Feb,5448459
Action,2010,Jan,294443
Action,2010,Jul,8795096
Action,2010,Jun,7095138
Action,2010,Mar,16214211
Action,2010,May,267498
